words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
﻿окиснення,U,0,0,0,-1
окиснювання,U,0,0,0,-1
окиснення,U,0,0,0,-1
оксидація,U,0,0,0,-1
окиснювати,U,0,0,0,-1
окисняти,U,0,0,0,-1
окиснити,U,0,0,0,-1
оксидувати,U,0,0,0,-1
окиснювач,U,0,0,0,-1
окисник,U,0,0,0,-1
оксидатор,U,0,0,0,-1
окістя,U,0,0,0,-1
надкісниця,U,0,0,0,-1
періост,U,0,0,0,-1
окликати,+,0,0,1,9
окрикати,+,0,0,1,10
окрикувати,+,0,0,1,10
окрикнути,+,0,0,1,10
накликати,+,0,0,1,8
окликнути,+,0,0,1,10
околиця,A,0,1,1,7
округа,U,0,0,0,8
край,U,0,0,0,8
периферія,+,0,0,1,7
царина,0,0,1,0,6
околишній,-,1,0,0,13
навколишній,-,1,0,0,12
довколишній,-,2,0,0,13
сусідній,-,1,0,0,14
окоренок,U,0,0,0,-1
прикорінь,U,0,0,0,-1
прикорень,U,0,0,0,-1
прикоренок,U,0,0,0,-1
відземок,U,0,0,0,-1
стовбур,U,0,0,0,-1
окраєць,+,0,0,1,6
цілушка,+,0,0,1,7
окрайок,+,0,0,1,7
скиба,+,0,0,1,7
шматок,+,0,0,3,5
окраса,+,0,0,1,10
оздоба,+,0,0,1,11
прикраса,+,0,0,3,11
краса,+,0,0,1,10
слава,+,0,0,1,9
окремий,U,0,0,0,12
самостійний,U,0,0,0,11
поодинокий,U,0,0,0,13
незв'язаний,U,0,0,0,13
роз'єднаний,U,0,0,0,13
деякий,U,0,0,0,13
ізольований,U,0,0,0,13
відрубний,U,0,0,0,13
відокремлений,U,0,0,0,13
окремо,-,1,0,0,14
зокрема,U,0,0,0,14
різно,-,1,0,0,15
нарізно,-,1,0,0,15
порізно,-,1,0,0,15
осібно,-,1,0,0,15
уроздріб,-,1,0,0,15
осторонь,-,1,0,0,13
окреслити,+,0,0,3,7
окреслювати,+,0,0,2,7
обкреслювати,+,0,0,1,8
обкреслити,+,0,0,1,8
обрисовувати,+,0,0,1,8
обрисувати,+,0,0,1,8
описувати,+,0,0,1,8
описати,+,0,0,1,8
розмічати,+,0,0,1,8
розмітити,+,0,0,1,8
обмальовувати,+,0,0,1,8
обмалювати,+,0,0,1,8
відтіняти,+,0,0,2,8
відтінювати,+,0,0,2,8
відтінити,+,0,0,2,8
визначати,+,0,0,2,6
зображати,+,0,0,12,8
окріп,U,0,0,0,-1
кип'яток,U,0,0,0,-1
кипінь,U,0,0,0,-1
кипень,U,0,0,0,-1
вар,U,0,0,0,-1
кип'яч,U,0,0,0,-1
окуліст,U,0,0,0,-1
офтальмолог,U,0,0,0,-1
окупант,-,1,0,0,8
загарбник,-,1,0,0,9
наїзник,-,1,0,0,9
займанець,-,1,0,0,9
поневолювач,-,1,0,0,7
оливо,U,0,0,0,-1
Плюмбій,U,0,0,0,-1
Плюмбум,U,0,0,0,-1
первень,U,0,0,0,-1
олійниця,U,0,0,0,-1
олійня,U,0,0,0,-1
омана,0,0,1,0,6
обман,0,0,1,0,7
ілюзія,A,0,1,1,6
примара,0,0,1,0,5
оманливий,-,1,0,0,10
обманливий,-,1,0,0,11
обманний,-,1,0,0,11
оманний,-,1,0,0,11
мішурний,-,1,0,0,11
примарний,-,1,0,0,9
омела,U,0,0,0,-1
гомела,U,0,0,0,-1
імела,U,0,0,0,-1
омельга,U,0,0,0,-1
зимозелень,U,0,0,0,-1
опадати,+,0,0,6,9
опасти,+,0,0,2,9
обпадати,+,0,0,2,9
обпасти,+,0,0,1,9
падати,+,0,0,3,8
облітати,+,0,0,2,10
облетіти,+,0,0,2,10
спадати,+,0,0,4,9
спасти,+,0,0,4,9
осипатися,+,0,0,1,8
обсипатися,+,0,0,3,9
сипатис,+,0,0,1,10
оббиватися,+,0,0,1,10
оббитися,+,0,0,1,10
звисати,+,0,0,3,9
опускатися,+,0,0,4,8
осідати,+,0,0,11,9
стухати,+,0,0,2,10
худнути,+,0,0,3,10
опалий,U,0,0,0,-1
обпалий,U,0,0,0,-1
осипаний,U,0,0,0,-1
палий,U,0,0,0,-1
опалити,+,0,0,1,11
опалювати,+,0,0,1,10
обігрівати,+,0,0,2,11
обігріти,+,0,0,2,11
огрівати,+,0,0,2,11
огріти,+,0,0,1,9
обпалити,+,0,0,1,11
опалювач,U,0,0,0,-1
грубник,U,0,0,0,-1
паровичник,U,0,0,0,-1
опам'ятатися,+,0,0,3,10
опам'ятовуватися,+,0,0,2,10
отямитися,+,0,0,2,10
отямлюватися,+,0,0,2,10
стямитися,+,0,0,2,10
схаменутися,+,0,0,1,11
опритомніти,+,0,0,2,9
опритомнювати,+,0,0,1,11
спам'ятатися,+,0,0,1,11
спам'ятовуватися,+,0,0,1,11
спом'янутися,+,0,0,1,11
споминатися,+,0,0,1,11
прокинутися,+,0,0,1,9
прокидатися,+,0,0,1,9
опам'ятуватис,+,0,0,1,11
протверезіти,+,0,0,1,11
одуматися,+,0,0,1,11
оговтатися,+,0,0,3,11
оговтуватися,+,0,0,3,11
розбуркатися,+,0,0,1,11
розбуркуватися,+,0,0,1,11
очуняти,+,0,0,2,10
очунятися,+,0,0,2,10
очунювати,+,0,0,2,10
прочуняти,+,0,0,2,10
прочунятися,+,0,0,2,10
прочунювати,+,0,0,2,10
оперета,U,0,0,0,-1
музична_комедія,U,0,0,0,-1
опинитися,+,0,0,2,10
опинятися,+,0,0,1,11
потрапити,+,0,0,2,9
потрапляти,+,0,0,2,9
підпасти,+,0,0,1,11
підпадати,+,0,0,1,11
опитування,U,0,0,0,-1
референдум,U,0,0,0,-1
опівночі,U,0,0,0,-1
опівніч,U,0,0,0,-1
уночі,U,0,0,0,-1
опір,U,0,0,0,-1
спротив,U,0,0,0,-1
відсіч,U,0,0,0,-1
опірність,U,0,0,0,-1
оплески,U,0,0,0,-1
аплодисменти,U,0,0,0,-1
овація,U,0,0,0,-1
оповивати,+,0,0,1,7
оповити,+,0,0,3,8
огортати,+,0,0,3,8
обгортати,+,0,0,3,7
огорнути,+,0,0,2,8
обгорнути,+,0,0,3,8
обволікати,+,0,0,2,8
обволокти,+,0,0,2,8
заволікати,+,0,0,1,8
заволокти,+,0,0,1,8
затягати,+,0,0,1,8
затягувати,+,0,0,1,8
затягти,+,0,0,1,8
затягнути,+,0,0,1,8
облягати,+,0,0,4,8
облягти,+,0,0,2,8
повивати,+,0,0,2,8
повити,+,0,0,2,8
обвивати,+,0,0,4,8
обвити,+,0,0,10,8
покривати,+,0,0,2,8
покрити,+,0,0,2,8
укривати,+,0,0,2,8
вкривати,+,0,0,3,8
укрити,+,0,0,2,8
вкрити,+,0,0,3,8
застилати,+,0,0,1,8
застеляти,+,0,0,1,8
застелити,+,0,0,1,8
заслати,+,0,0,1,8
охоплювати,+,0,0,3,7
обхоплювати,+,0,0,3,8
охопити,+,0,0,4,8
обхопити,+,0,0,3,8
обіймати,+,0,0,1,6
обнімати,+,0,0,2,8
обняти,+,0,0,2,8
обійняти,+,0,0,4,8
оточувати,+,0,0,2,7
оточити,+,0,0,15,8
оступати,+,0,0,2,8
обступати,+,0,0,3,8
оступити,+,0,0,2,8
обступити,+,0,0,3,8
обкладати,+,0,0,1,8
обкласти,+,0,0,1,8
обікласти,+,0,0,1,8
уповивати,+,0,0,1,8
вповивати,+,0,0,1,8
уповити,+,0,0,1,8
вповити,+,0,0,1,8
поймати,+,0,0,1,8
пойняти,+,0,0,1,8
облизувати,+,0,0,1,8
облизати,+,0,0,1,8
притуманювати,+,0,0,1,8
притуманити,+,0,0,1,8
опуститися,+,0,0,3,8
наповнити,+,0,0,2,8
обвівати,+,0,0,3,8
обкручувати,+,0,0,2,8
сповивати,+,0,0,1,8
оповиватися,+,0,0,4,10
оповитися,+,0,0,1,11
огортатися,+,0,0,1,11
обгортатися,+,0,0,1,11
огорнутися,+,0,0,1,11
обгорнутися,+,0,0,1,11
обволікатися,+,0,0,1,11
обволоктися,+,0,0,1,11
заволікатися,+,0,0,1,11
заволоктися,+,0,0,1,11
затягатися,+,0,0,2,11
затягуватися,+,0,0,2,11
затягтися,+,0,0,2,11
затягнутися,+,0,0,2,11
повиватися,+,0,0,1,9
повитися,+,0,0,1,9
обвиватися,+,0,0,1,9
обвитися,+,0,0,1,11
укриватися,+,0,0,1,9
вкриватися,+,0,0,3,11
укритися,+,0,0,1,11
вкритися,+,0,0,3,11
покриватися,+,0,0,3,11
покритися,+,0,0,3,11
застилатися,+,0,0,1,11
застелитися,+,0,0,1,11
угортатися,+,0,0,1,11
вгортатися,+,0,0,1,11
угорнутися,+,0,0,1,11
вгорнутися,+,0,0,1,11
одягатися,+,0,0,1,11
