			- 				SENT_START 	
шоу			шоу 			noun:n:v_naz:nv 								
те			той 			pron:dem							
тільки		тільки 			adv 								 	
по			по 				prep:rv_mis
вихідних	вихідний 		noun:p:v_mis 							
...			- 				- 	
замануха	замануха 		noun:f:v_naz:slang 	
дя			- 				- 	
туристів	турист 			noun:p:v_rod:anim 	
,			- 				- 	
а			а 				conj:coord 						 	
львів'ян	львів'янин 		noun:p:v_zna:anim 	
таким		такий 			pron:def 	
не			не 				part 	
сильно		сильно 			adv:compb 	
видно		видно 			insert 							
хочуть		хотіти 			verb:pres:3:imperf	
балувати	балувати 		verb:inf:imperf 	
.			- 				SENT_END 	

			- 				SENT_START 	
Особисто	особисто 		adv:compb 	
мені		я 				pron:pers:s:1:v_dav:anim							
не			не 				part 	
сподобалось сподобатися     verb:rev:past:n:perf 	
,			- 				- 	
що			що 				conj:subord 							 	
не			не 				part 	
має			мати 			verb:pres:s:3:imperf
вегетаріанських		вегетаріанський 	adj:p:v_rod 
страв		страва 			noun:p:v_rod 	
ВЗАГАЛІ		взагалі 		adv:v-u 	
!			- 				SENT_END 	

			- 				SENT_START 	
При			при 			prep:rv_mis			
тому		тому 			adv 							 	
заходили	заходити 		verb:past:p:imperf 							
за			за 				prep:rv_zna
три			три 			numr:p:v_zna							
дні			день 			noun:p:v_zna 								
перед		перед 			prep:rv_oru
Великоднем	Великдень 		noun:v_oru	
,			- 				- 	
а			а 				conj:coord 							 		
все			все 			pron 								
з			з 				prep:rv_oru	
м'ясом		м'ясо 			noun:n:v_oru 	
або			або 			conj:coord 	
з			з 				prep:rv_oru	
сиром		сир 			noun:m:v_oru 	
.			- 				SENT_END 
							PARA_END 	

			- 				SENT_START 	
Святкував	святкувати 		verb:past:m:imperf 	
там			там 			adv								
новий		новий 			adj:m:v_zna:compb 	
рік			рік 			noun:m:v_zna 
...			- 				SENT_END 	

			- 				SENT_START 	
Враження-охрінєть	- 		- 	
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
Не			не 				part 	
подумайте	подумати 		verb:impr:p:2:perf 	
,			- 				- 	
що			що 				conj:subord 							
так			так 			part 	
добре		добре 			adv  
!			- 				- 	
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
Щоб			щоб 			conj:subord 								
ніхто		ніхто 			pron:neg:v_naz:anim 	
не			не 				part 	
звертав		звертати 		verb:past:m:imperf 	
увагу		увага 			noun:f:v_zna 	
на			на 				prep:rv_zna 	
весь		весь 			pron:def	
цей			цей 		    pron:dem 	
хаос		хаос 			noun:m:v_zna 	
,			- 				- 	
треба		треба 			predic 	
було		бути 			verb:past:n:imperf 	
нам			ми 				pron:pers:p:1:v_dav:anim 	
замість		замість 		prep:rv_rod 	
шалика		шалик 			noun:m:v_rod 	
в			в 				prep:rv_mis:v-u 	
подарунок-кожному	- 		- 	
по			по 				prep:rv_mis	
пляшці		пляшка 			noun:f:v_mis 	
горілки		горілка 		noun:f:v_rod 								
давати		давати 			verb:inf:imperf 	
!			- 				- 	
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 
							PARA_END 	

			- 				SENT_START 	
Була		бути 			verb:past:f:imperf 	
кілька		кілька 			numr		
раз-враження раз-враження 	-
чудові		чудовий 		adj:p:v_naz:compb 							
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
Та			та 				part 	
після		після 			prep:rv_rod 	
того		той 			pron:dem 									
,			- 				- 	
як			як 				conj:subord 							 	
святкувала	святкувати 		verb:past:f:imperf 	
новий		новий 			adj:m:v_zna:compb 	
рік			рік 			noun:m:v_zna 			
у			у 				prep:rv_mis:v-u 	
'Домі		- 				- 	
легенд'-думку	- 			- 	
змінила		змінити 		verb:past:f:perf 	
в			в 				prep:rv_zna:v-u 	
дуже-дуже	дуже-дуже 		adv 	
погану		поганий 	    adj:f:v_zna:compb 	
сторону		сторона 		noun:f:v_zna 	
!			- 				- 	
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
Організованості	організованість 	noun:f:v_rod 											
ніякої		ніякий 			pron:neg 	
,			- 				- 	
замовлені	замовлений 		adjp:pasv:past:p:v_naz 							
страви		страва 			noun:p:v_naz 							
і			і 				conj:coord 								
напої		напій 			noun:p:v_naz 								
заздалегідь	заздалегідь 	adv 	
,			- 				- 	
принесли	принести 		verb:past:p:perf 	
аж			аж 				part 	
після		після 			prep:rv_rod 	
12			12 				number 	
години		година 			noun:f:v_rod 							
!			- 				- 	
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
На			на 				prep:rv_zna 	
прохання	прохання 		noun:n:v_rod 									
принести	принести 		verb:inf:perf 	
книгу		книга 			noun:f:v_zna 	
скарг		скарга 			noun:p:v_rod 	
,			- 				- 	
так			так 			adv						 	
і			і 				part 	
нічого		нічого 			adv 							
не			не 				part 	
відповіли	відповісти 		verb:past:p:perf 	
!			- 				- 	
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
Офіціанта	офіціант 		noun:m:v_rod:anim 							
не			не 				part 	
було		бути 			verb:past:n:imperf 	
на			на 				prep:rv_zna:rv_mis 	
кімнату		кімната 		noun:f:v_zna 	
жодного		жодний 			pron 								
!			- 				- 	
!			- 				SENT_END 	

			- 				SENT_START 	
А			а 				conj:coord 								
про			про 			prep:rv_zna 	
розважальну	розважальний 	adj:f:v_zna 	
програму-взагалі	- 		- 	
мовчу		мовчати 		verb:pres:s:1:imperf 	
...			- 				SENT_END 
							PARA_END 	

			- 				SENT_START 	
Вчора		вчора 			adv:v-u 	
була		бути 			verb:past:f:imperf 	
в			в 				prep:rv_mis:v-u 	
цьому		цей 			pron:dem 							
ресторані	ресторан 		noun:m:v_mis 	
,			- 				- 	
надзвичайно	надзвичайно 	adv 	
сподобався	сподобатися 	verb:rev:past:m:perf 	
сажотрус	сажотрус 		noun:m:v_naz:anim 	
на			на 				prep:rv_mis 	
вході		вхід 			noun:m:v_mis 	
,			- 				- 	
його		він 			pron:pers:m:3:v_rod:anim 								
історії		історія 		noun:f:v_naz 									
настільки	настільки 		adv 	
цікаві		цікавий 		adj:p:v_naz:compb 							 	
і			і 				conj:coord 							
смішні		смішний 		adj:p:v_naz:compb 							
,			- 				- 	
що			що 				conj:subord 							
можна		можна 			predic 	
слухати		слухати 		verb:inf:imperf 	
годинами	година 			noun:p:v_oru 	
.			- 				SENT_END	

			- 				SENT_START 	
Без			без 			prep:rv_rod 	
нього		він 			pron:pers:m:3:v_rod:anim							
кнайпа		кнайпа 			noun:f:v_naz 	
була		бути			verb:past:f:imperf 	
б			б 				part 	
не			не 				part 	
дуже		дуже 			adv 
цікавою		цікавий 		adj:f:v_oru:compb 	
.			- 				SENT_END 	

			- 				SENT_START 	
Інтер'єр	інтер'єр 		noun:m:v_naz 							
класний		класний 		adj:m:v_naz 							
,			- 				- 	
багато		багато 			adv 							
кімнат		кімната 		noun:p:v_rod 	
,			- 				- 	
ражду		- 				- 	
відвідати	відвідати 		verb:inf:perf 	
вбиральню	вбиральня 		noun:f:v_zna:v-u 	
)			- 				- 	
)			- 				- 	
)			- 				- 	
)			- 				- 	
там			там 			adv 							
свої		свій 			pron:pos 	
приколи		прикіл 	 		noun:p:v_naz 
.			- 				SENT_END	

			- 				SENT_START 	
Хотілося	хотітися 		verb 	
б			б 				part 	
трошки		трошки 			adv 	
ширшого		широкий 		adj:m:v_rod:compr 							 	
меню		меню 			noun:n:v_rod:nv 								
...			- 				SENT_END 
							PARA_END	

			- 				SENT_START 	
Чесно		чесно 			adv:compb 	
зізнаюсь	зізнатися 		verb:rev:futr:s:1:perf 	
,			- 				- 	
почитавши	почитати 		advp:perf 	
попередні	попередній 		adj:p:v_zna 	
коментарі	коментар 		noun:p:v_zna 		
я			я 				pron:pers:s:1:v_naz:anim	
не			не 				part 	
думав		думати 			verb:past:m:imperf 	
,			- 				- 	
що			що 				conj:subord 							
ці			цей 			adj:p:v_naz:&pron:dem 								
легенди		легенда 		noun:p:v_naz 							
і			і 				conj:coord 							
цей			цей 			pron:dem 							
чувачок		- 				- 	
,			- 				- 	
що			що 				conj:subord 								
їх			вони 			pron:pers:p:3:v_rod:anim						
розповідає	розповідати 	verb:pres:s:3:imperf 	
можуть		могти 			verb:unknown 	
змінити		змінити 		verb:inf:perf 	
мої			мій 			pron:pos 							
не			не 				part 	
дуже		дуже 			adv				 
приємні		приємний 		adj:p:v_naz:compb 							 	
від			від 			prep:rv_rod 	
першого		перший 			adj:m:v_rod 									
візиту		візит 			noun:m:v_rod 	
спогади		спогад 			noun:p:v_naz 								
.			- 				SENT_END	

			- 				SENT_START 	
Мушу		мусити 			verb:pres:s:1:imperf 	
визнати		визнати 		verb:inf:perf 	
,			- 				- 	
я			я 				pron:pers:s:1:v_naz:anim	
помилявся	помилятися 		verb:rev:past:m:imperf 	
.			- 				SENT_END	

			- 				SENT_START 	
Він			він 			pron:pers:m:3:v_naz:anim	
їх			вони 			pron:pers:p:3:v_rod:anim 								
мало		мало 			adv:compb 			
неспіває	- 				- 	
.			- 				SENT_END	

			- 				SENT_START 	
Не			не 				part 	
розумію		розуміти 		verb:pres:s:1:imperf 	
тільки		тільки 			adv 									
чому		чому 			pron:rel 				
те			той 			pron:dem 						
що			що 				pron:int:rel:n:v_naz 									
їх			вони 			pron:pers:p:3:v_rod:anim 							
можна		можна 			predic 	
від			від 			prep:rv_rod 	
нього		він 			pron:pers:m:3:v_rod:anim 							 		
почути		почути 			verb:inf:perf 	
нема		нема 			predic 	
і			і 				conj:coord 								
жодного		жодний 			pron 								
натяку		натяк 			noun:m:v_rod 	
у			у 				prep:rv_mis:v-u 	
