words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
доброволець,+,0,0,1,8
волонтер,+,0,0,1,9
охочий,+,0,0,2,7
добродійник,+,0,0,1,10
філантроп,+,0,0,1,11
доброчинець,+,0,0,1,11
добродій,+,0,0,1,9
доброзичливий,+,0,0,2,4
зичливий,+,0,0,1,5
прихильний,+,0,0,2,5
приязний,+,0,0,4,5
добрий,+,0,0,1,3
доброзичний,+,0,0,1,5
поблажливий,+,0,0,1,5
людяний,+,0,0,1,5
чулий,+,0,0,2,5
добротний,+,0,0,2,3
тривкий,+,0,0,2,4
доброякісний,+,0,0,1,4
високоякісний,+,0,0,1,2
якісний,+,0,0,1,2
доброчинність,U,0,0,0,-1
добродійність,U,0,0,0,-1
філантропія,U,0,0,0,-1
добродіяння,U,0,0,0,-1
добувати,+,0,0,6,7
добути,+,0,0,5,8
видобувати,+,0,0,4,8
видобути,+,0,0,4,8
виймати,+,0,0,11,7
вийняти,+,0,0,10,7
дістати,+,0,0,2,6
здобувати,+,0,0,1,6
знайти,+,0,0,3,7
одержати,+,0,0,8,7
довбати,+,0,0,2,7
довбти,+,0,0,1,7
роздовбувати,+,0,0,2,7
роздовбати,+,0,0,2,7
длубати,+,0,0,1,8
продовбувати,+,0,0,1,8
продовбати,+,0,0,1,8
продовбти,+,0,0,1,8
видовбувати,+,0,0,1,8
видовбати,+,0,0,1,8
довбатися,+,0,0,3,8
довбтися,+,0,0,2,9
длубатися,+,0,0,3,8
копирсатися,+,0,0,1,7
колупатися,+,0,0,1,9
возитися,+,0,0,3,8
вовтузитися,+,0,0,2,7
копатися,+,0,0,3,8
довгастий,+,0,0,1,5
видовжений,+,0,0,1,6
витягнений,+,0,0,1,6
витягнутий,+,0,0,1,6
подовжений,+,0,0,1,6
довгуватий,+,0,0,1,4
лінійний,+,0,0,1,6
овальний,+,0,0,1,6
заокруглений,+,0,0,1,6
довгий,+,0,0,2,3
довжелезний,+,0,0,2,3
довженний,+,0,0,2,3
довжезний,+,0,0,2,3
довгенький,+,0,0,1,4
доземний,+,0,0,1,4
додільний,+,0,0,1,4
тривалий,+,0,0,1,4
довгочасний,+,0,0,1,4
довго,-,3,0,0,4
чимало,-,2,0,0,3
чималу_годину,-,1,0,0,5
чималий_час,-,1,0,0,5
усе,-,1,0,0,4
все,-,1,0,0,4
довгенько,-,1,0,0,5
подовгу,-,1,0,0,5
довговічний,U,0,0,0,-1
багаторічний,U,0,0,0,-1
довгорічний,U,0,0,0,-1
довгоносик,U,0,0,0,-1
слоник,U,0,0,0,-1
вовчок_збіжжевий,U,0,0,0,-1
носач,U,0,0,0,-1
свинка,U,0,0,0,-1
довготелесий,+,0,0,1,3
високий,+,0,0,1,2
худий,+,0,0,1,4
незграбний,+,0,0,1,4
довготривалий,+,0,0,2,5
довершений,+,0,0,2,1
досконалий,+,0,0,1,1
довершити,+,0,0,4,8
довершувати,+,0,0,3,8
завершувати,+,0,0,2,8
завершити,+,0,0,2,8
закінчувати,+,0,0,6,7
закінчити,+,0,0,2,8
виконувати,+,0,0,3,8
виконати,+,0,0,3,8
довести,+,0,0,2,8
доводити,+,0,0,14,7
довід,+,0,0,1,6
потвердження,+,0,0,1,7
свідчення,+,0,0,1,5
арґумент,+,0,0,1,7
резон,+,0,0,1,7
доказ,+,0,0,1,7
підстава,+,0,0,3,7
довідатися,+,0,0,3,9
довідуватися,+,0,0,4,9
довідка,U,0,0,0,-1
посвідчення,U,0,0,0,-1
посвідка,U,0,0,0,-1
свідоцтво,U,0,0,0,-1
довідник,+,0,0,1,11
посібник,+,0,0,1,10
проспект,+,0,0,1,12
прейскурант,+,0,0,1,12
дізнаватися,+,0,0,3,9
дізнатися,+,0,0,3,9
вивідувати,+,0,0,5,8
вивідати,+,0,0,5,8
довіра,+,0,0,1,9
довір'я,+,0,0,1,10
віра,+,0,0,1,8
довірений,+,0,0,1,8
наближений,+,0,0,1,7
довірливий,+,0,0,1,8
легковірний,+,0,0,1,9
наївний,+,0,0,2,8
простакуватий,+,0,0,2,8
довіряти,+,0,0,4,8
