Token	Lemma		Part-of-speech	Chunk
	      - 		SENT_START 	
Сирники	сирник 		noun:p:v_naz  	
не	     не 		part 	
куштувала куштувати verb:past:f:imperf 	
.	      - 		SENT_END 
	      - 		SENT_START 	
А	      а  		part 	
ось		ось 		part 	
штруделі  - 		- 	
посмакувала	посмакувати verb:past:f:perf 	
із		із 			prep:rv_rod:rv_zna:rv_oru	
задоволенням задоволення noun:n:v_oru  	
.		  - 		SENT_END 	
	      - 		SENT_START 	
Дуже	дуже 		adv:compb 	
подобається	подобатися 	verb:rev:pres:s:3:imperf 	
можливість	можливість 	noun:f:v_zna 	
обрати	обрати 		verb:inf:perf 	
будь-який будь-який adj:m:v_zna:&pron:ind 	
топпінг	  - 		- 	
у		  у 		prep:rv_zna:rv_mis:rv_rod:v-u 	
будь-якій будь-який adj:f:v_dav:&pron:ind  	
кількості кількість noun:f:v_dav 	
.	      - 		SENT_END 	
	      - 		SENT_START 	
Дякую   дякувати 	verb:pres:s:1:imperf 	
!	      - 		SENT_END 	
	      - 		SENT_START 	
Брала	брати 		verb:past:f:imperf 	
сирник	сирник 	 	noun:m:v_zna 	
з		з 			prep:rv_rod:rv_zna:rv_oru	
собою	себе 		noun:m:v_oru:&pron:refl 	
-		- 			- 	
підсунили - 		- 	
з	з 				prep:rv_rod:rv_zna:rv_oru	
пліснявою пліснява  noun:f:v_oru
!		- 			- 	
!		- 			- 	
!		- 			SENT_END 	
		- 			SENT_START 	
Дуже	дуже 		adv:compb
не		не 			part 	
задоволена задоволений adj:f:v_naz:compb:&adjp:pasv:perf	
,		- 			- 	
це		цей 		adj:n:v_naz:&pron:dem  	
жахливо	жахливо 	adv:compb 	
!		- 			SENT_END 	
	    - 	    	SENT_START 	
Що	    що 			noun:n:v_naz:inanim:&pron:int:rel
з		з 			prep:rv_rod:rv_zna:rv_oru 	
вами	ви 			noun:p:v_oru:anim:&pron:pers:2 	
сталося	статися 	verb:rev:past:n:perf 	
?		- 			- 	
!		- 	 		SENT_END 	
	    - 			SENT_START 
Київ	Київ	 	noun:m:v_naz
,		- 			- 
Поділ	поділ 		noun:m:v_naz 
...		- 			- 
мама	мама	 	noun:f:v_naz:anim 
купила	купити 		verb:past:f:perf 
з		з 			prep:rv_rod:rv_zna:rv_oru
маком	мак 		noun:m:v_oru 
,		- 			- 
з		з 			prep:rv_rod:rv_zna:rv_oru
сиром	сир 		noun:m:v_oru 
і		і 			conj:coord 
журавлиною журавлина noun:f:v_oru 
та		та 			conj:coord 
яблучний яблучний 	adj:m:v_zna 
з		з 			prep:rv_rod:rv_zna:rv_oru
рудзинками - 		- 
...		- 			SENT_END 
		- 			SENT_START 	
Маковий	маковий 	adj:m:v_naz  	
просто	просто  	adv:compb  	
жахливий жахливий 	adj:m:v_zna:compb 	
...		- 			- 	
сам		сам 		adj:m:v_naz:&pron:def  	
мак		мак 		noun:m:v_naz  	
поганої	поганий 	adj:f:v_rod:compb 	
якості	якість 	 	noun:f:v_rod  	
!		- 			- 	
!		- 			- 	
!	    - 	   		SENT_END 	
		- 			SENT_START 	
Сирний	сирний 		adj:m:v_naz  	
із		із 			prep:rv_rod:rv_zna:rv_oru 	
журавлиною журавлина noun:f:v_oru	
виявився виявитися 	verb:rev:past:m:perf 	
з		з 			prep:rv_rod:rv_zna:rv_oru 	
кокосом	кокос 		noun:m:v_oru 	
,		- 			- 	
про		про 		prep:rv_zna 	
що		що 			noun:n:v_zna:inanim:&pron:int:rel	
не		не 			part 	
попередили попередити verb:past:p:perf 	
...		- 			-	 	
його	 він 		noun:m:v_rod:&pron:pers:3  	
купували купувати 	verb:past:p:imperf 	
для		для 		prep:rv_rod 	
дитини	дитина 		noun:f:v_rod:anim 	
(		- 			- 	
кокос	кокос 	 	noun:m:v_zna 	
не		не 			part 	
даєм	давати 		verb:pres:p:1:imperf 	
)		- 			- 	
Яблучний яблучний 	adj:m:v_naz 	
на		на 			prep:rv_zna:rv_mis 	
трійку	трійка 		noun:f:v_zna 	
.		- 			SENT_END 	
		- 			SENT_START 	
Або		або 		conj:coord 	
міняйте	міняти 		verb:impr:p:2:imperf 	
менеджмент менеджмент noun:m:v_zna 	
,		- 			- 	
поварів	повар 	 	noun:p:v_zna:anim 	
,		- 			- 	
слідкуйте слідкувати verb:impr:p:2:imperf 	
за		за 			prep:rv_rod:rv_zna:rv_oru	
якістю	якість 		noun:f:v_oru 	
або		або 		conj:coord 	
втратите втратити 	verb:futr:p:2:perf:v-u 	
своє	свій 	 	adj:n:v_zna:&pron:pos 	
добре	добрий 	 	adj:n:v_zna:compb 	
ім'я	ім'я 		noun:n:v_zna 	
і		і 			conj:coord
шанувальників шанувальник noun:p:v_zna:anim 	
.		- 			SENT_END 	
		- 			SENT_START 	
Я		я 			noun:s:v_naz:anim:&pron:pers:1	
не		не 			part 	
приємно	приємно 	adv:compb 	
вражена	вражений 	adjp:pasv:perf:f:v_naz 	
Цей		цей 		adj:m:v_naz:&pron:dem  	
Кумпель	- 			- 	
на		на 		 	prep:rv_zna:rv_mis 	
площі	площа 		noun:f:v_mis 
Митній	митний 		adj:f:v_mis 	
найкращий хороший adj:m:v_naz:super 
і		і 			conj:coord  	
за		за	 		prep:rv_rod:rv_zna:rv_oru 	
атмосферою атмосфера noun:f:v_oru 	
і		і 	  		conj:coord  	
за		за 			prep:rv_rod:rv_zna:rv_oru 	
роботою	робота 		noun:f:v_oru 	
офіціантів офіціант noun:p:v_rod:anim 
і		і 			conj:coord  	
за		за 			prep:rv_rod:rv_zna:rv_oru 	
кухнею	кухня 		noun:f:v_oru 	
.		- 			SENT_END 	
		- 			SENT_START 	
Не		не 			part 	
раз		раз 		adv 	
приводила приводити verb:past:f:imperf 	
гостей	гість 		noun:p:v_zna:anim 	
до		до 			prep:rv_rod 	
вас		ви 			noun:p:v_rod:anim:&pron:pers:2	
для		для 		prep:rv_rod 	
частування частування noun:n:v_rod  	
справжньою справжній  adj:f:v_oru 	
Галицькою	галицький adj:f:v_oru 	
кухнею	кухня 		noun:f:v_oru 	
.		- 			SENT_END 	
		- 			SENT_START 	
Приємно	приємно 	adv:compb 	
що		що 			conj:subord 
ви		ви 	 		noun:p:v_naz:anim:&pron:pers:2 	
не		не 			part 	
втратили втратити 	verb:past:p:perf:v-u 	
рівня	рівень 		noun:m:v_rod 	
чистоти	чистота 	noun:f:v_rod 	
,		- 			- 	
якості	якість 	 	noun:f:v_rod 
,		- 			- 	
порядку	порядок 	noun:m:v_rod 	
і		і 			conj:coord  	
смаку	смак 	 	noun:m:v_rod 	
страв	страва 		noun:p:v_rod 	
за		за	 		prep:rv_rod:rv_zna:rv_oru 	
роки	рік 	 	noun:p:v_zna 	
роботи	робота 		noun:f:v_rod 
.		- 			SENT_END 	
		- 			SENT_START 	
Це		цей 		adj:n:v_naz:&pron:dem 	
буває	бувати 		verb:pres:s:3:imperf 	
дуже	дуже 		adv:compb 	
рідко	рідко 		adv:compb 	
в		в	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
ресторанному ресторанний adj:n:v_mis 	
бізнесі	бізнес 		noun:m:v_mis 	
.		- 			SENT_END 	
		- 			SENT_START 	
Ви		ви 			noun:p:v_naz:anim:&pron:pers:2	
приклад	приклад 	noun:m:v_naz 	
для		для 		prep:rv_rod 	
всіх	весь   		adj:p:v_rod:&pron:dem  	
у		у 			prep:rv_zna:rv_mis:rv_rod:v-u 	
місті	місто 		noun:n:v_mis 	
Львові	Львів 		noun:m:v_mis 	
.		- 			SENT_END  	
		- 			SENT_START 	
Заклад	заклад 		noun:m:v_naz  	
залишив	залишити 	verb:past:m:perf 	
неприємні неприємний adj:p:v_zna:compb 	
відчуття відчуття   noun:p:v_zna 	
.		- 	 		SENT_END 	
		- 			SENT_START 	
Спочатку спочатку 	adv 	
чекали	чекати 		verb:past:p:imperf 	
хвилин	хвилина 	noun:p:v_rod 	
20		20 			number 	                  (time)
доки	доки 		adv:&pron:int:rel  	
хтось	хтось 		noun:v_naz:anim:&pron:ind	
підійде	підійти 	verb:futr:s:3:perf 	
до		до 			prep:rv_rod 	
нашого	наш 		adj:m:v_rod:&pron:pos 	
столику	столик 		noun:m:v_dav  	
і		і	 		conj:coord  	
прийме	прийняти 	verb:futr:s:3:perf 	
замовлення замовлення noun:n:v_zna  	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Підійшла підійти	verb:past:f:perf 	
приємна	приємний	adj:f:v_naz:compb 	
дівчина	дівчина 	noun:f:v_naz:anim 	
,		- 			- 	
яка		який	 	adj:f:v_naz:&pron:int:rel:def 	
з		з 			prep:rv_rod:rv_zna:rv_oru 	
приємною приємний 	adj:f:v_oru:compb 	
посмішкою посмішка 	noun:f:v_oru 	
відразу	відразу 	adv 	
прийняла прийняти	verb:past:f:perf 	
замовлення замовлення noun:n:v_zna 	
,		- 			- 	
не		не 			part 	
встигши	встигнути 	advp:perf:v-u 	
відійти	відійти 	verb:inf:perf 	
від		від 		prep:rv_rod 	
нашого	наш 		adj:m:v_rod:&pron:pos  	
столику	столик 		noun:m:v_mis 	
почала	почати 		verb:past:f:perf 	
розповідати	розповідати verb:inf:imperf 	
своє	свій 		adj:n:v_zna:&pron:pos 	
обурення обурення	noun:n:v_zna  	
,		- 			- 	
що		що 			conj:subord 	
ніби	ніби 		part 	
на		на	 		prep:rv_zna:rv_mis 	
неї		вона 		noun:f:v_zna:&pron:pers:3 	
всі	  	весь		adj:p:v_naz:&pron:dem  	
накинулися накинутися verb:rev:past:p:perf 	
з		з	 		prep:rv_rod:rv_zna:rv_oru 	
цим		цей 		adj:m:v_oru:&pron:dem  	
замовленням	замовлення noun:n:v_oru 	
своїм	свій 	 	adj:p:v_dav:&pron:pos 	
колегам	колега 		noun:p:v_dav:anim 	
,		-	 		- 	
які		який 		adj:p:v_naz:&pron:int:rel:def  	
щойно	щойно 		adv 	
підійшли підійти	verb:past:p:perf 	
.		- 			SENT_END 	
		- 			SENT_START 	
Нехай	нехай 		part  	
адміністратори адміністратор noun:p:v_naz:anim 	
закладу	заклад 	 	noun:m:v_rod 
краще	хороший		adj:n:v_naz:compr  	
добирають добирати 	verb:pres:p:3:imperf 	
персонал персонал 	noun:m:v_zna 	
,  		- 			- 	
або		або 		conj:coord 	
слідкують слідкувати verb:pres:p:3:imperf 	
,		- 			- 	
щоб		щоб 		conj:subord  	
на		на	 		prep:rv_zna:rv_mis 	
кожному	кожний   	adj:n:v_mis:&pron:def 	
поверсі	поверх 		noun:m:v_mis 	
були	бути 		verb:past:p:imperf 	
певна	певний 		adj:f:v_naz:compb 	
кількість кількість noun:f:v_naz  	
офіціантів офіціант noun:p:v_rod:anim  	
.		- 			SENT_END 	
		- 			SENT_START 	
Їжа		їжа 		noun:f:v_naz 	
була	бути 		verb:past:f:imperf 	
несмачна несмачний 	adj:f:v_naz 	
,		- 			- 	
недосолена недосолений adjp:pasv:perf:f:v_naz 	
і		і 			conj:coord  	
ціни	ціна 		noun:p:v_naz  	
значно	значно 		adv:compb 	
завищені завищений adjp:pasv:perf:p:v_naz  	
.		- 			SENT_END 	
		- 			SENT_START 	
Плюс	плюс 		noun:m:v_naz  	
до		до 			prep:rv_rod 	
всього	весь 		adj:m:v_rod:&pron:dem  	
вище	високий 	adj:n:v_naz:compr  	
вказаного вказаний 	adjp:pasv:perf:m:v_rod:v-u  	
у		у 			prep:rv_zna:rv_mis:rv_rod:v-u 	
наш		наш 		adj:m:v_zna:&pron:pos 	
рахунок	рахунок  	noun:m:v_zna 	
дописали дописати 	verb:past:p:perf 	
зайві	зайвий 		adj:p:v_zna 	
позиції	позиція  	noun:p:v_zna 	
,		- 			- 	
які		який 		adj:p:v_zna:&pron:int:rel:def 	
ми		ми 			noun:p:v_naz:anim:&pron:pers:1	
не		не 			part 	
замовляли замовляти verb:past:p:imperf 	
.		- 			SENT_END 	
		- 			SENT_START 	
ПРОСТО	просто 		adv:compb  	
ЖАХ		жах 		noun:m:v_naz  	
.		-	 		SENT_END 	
		-	 		SENT_START 	
ВАМ		ви	 		noun:p:v_dav:anim:&pron:pers:2	
МАЄ		мати 		verb:pres:s:3:imperf  	
БУТИ	бути 		verb:inf:imperf 	
СОРОМНО	соромно 	adv 	
ЗА		за 			prep:rv_rod:rv_zna:rv_oru 	
ТАКЕ	такий 		adj:n:v_zna:&pron:def 	
ПОВОДЖЕННЯ поводження noun:n:v_zna  	
З		з 			prep:rv_rod:rv_zna:rv_oru 	
КЛІЄНТАМИ клієнт 	noun:p:v_oru:anim 	
.		- 			SENT_END 	
		-	 		SENT_START 	
Фрі		-	 		- 	
та		та	 		conj:coord  	
макчікен -  		- 	
смердять смердіти 	verb:pres:p:3:imperf 	
старою	старий 		adj:f:v_oru:compb 	
олією	олія 		noun:f:v_oru 	
,		-	 		- 	
її		вона 		noun:f:v_zna:&pron:pers:3 	
явно	явно 		adv 	
не		не	 		part 	
міняють	міняти 		verb:pres:p:3:imperf 	
так		так			conj:coord:subord 	
як		як 			conj:subord  	
це		цей 		adj:n:v_zna:&pron:dem 	
потрібно потрібно 	adv:compb 	
робити	робити 		verb:inf:imperf 	
у		у 			prep:rv_zna:rv_mis:rv_rod:v-u 	
подібних подібний 	adj:p:v_mis:compb  	
закладах заклад 	noun:p:v_mis 	
,		- 			- 	
дабл	- 			- 	
гамбургер гамбургер noun:m:v_naz 	
чи		чи 			conj:coord:subord  	
чизбургер - 		- 	
лише	лише 		part 	
фікція	фікція 		noun:f:v_naz 	
,		- 			- 	
у		у 			prep:rv_zna:rv_mis:rv_rod:v-u 	
закладі	заклад 		noun:m:v_mis 	
смачно	смачно 		adv:compb 	
лише	лише 		part 	
подивитися подивитися verb:rev:inf:perf 	
на		на 			part 	
фото	фото  		noun:n:v_zna:nv 	
цих		цей 		adj:p:v_rod:&pron:dem  	
речей	річ 		noun:p:v_rod 	
,		-	 		- 	
на	 	на жаль		<insert> 	
жаль	на жаль 	</insert> 	
(		-	 		- 	
(		-	 		- 	
(		-	 		- 	
Швидко	швидко 		adv:compb 	
,		- 			- 	
смачно	смачно 		adv:compb 	
,		- 			- 	
калорійно калорійно adv 	
.		-	 		- 	
:		- 			- 	
-		-	 		- 	
)		- 			- 	
Багато	багато 		adv:compb  	
місця	місце 		noun:n:v_rod  	
,		-	 		- 	
є		бути 		verb:pres:s:3:imperf 	
макдрайв -  		- 	
.	  	- 			SENT_END 
		- 			SENT_START 	
Вранці	вранці 		adv:v-u 	
обслуговування обслуговування noun:n:v_naz 	
дуже	дуже 		adv:compb 	
повільне повільний 	adj:n:v_naz:compb 	
та		та	 		conj:coord  	
неорганізоване неорганізований adj:n:v_naz:&adjp:pasv:perf	
.		- 			SENT_END 	
		- 			SENT_START 	
Забіг	забігти 	verb:past:m:perf 	
вранці	вранці 		adv:v-u 	
кави	кава 		noun:f:v_rod 	
взяти	взяти 		verb:inf:perf 	
,		-	 		- 	
так		так 	 	conj:coord:subord  	
в		в 			prep:rv_zna:rv_mis:rv_rod:v-u 	
мене	я 			noun:s:v_rod:anim:&pron:pers:1	
майже	майже 		adv 	
10		10 			number 	                   (time)
хвилин	хвилина 	noun:p:v_rod 	
не		не	 		part 	
могли	могти 		verb:past:p:imperf 	
прийняти прийняти 	verb:inf:perf 	
замовлення замовлення noun:n:v_zna  	
,		- 			- 	
все		все 	 	part:v-u  	
бігали	бігати 		verb:past:p:imperf 	
мимо	мимо 		adv 	
каси	каса 		noun:f:v_rod  	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Сервіс	сервіс 		noun:m:v_naz  	
так		так 		part 	
собі	себе 		noun:m:v_dav:&pron:refl  	
,		-	 		- 	
сніданок сніданок 	noun:m:v_naz  	
жахливий жахливий 	adj:m:v_naz:compb  	
,		- 	 		- 	
розташування розташування noun:n:v_naz  	
в		в 			prep:rv_zna:rv_mis:rv_rod:v-u 	
промзоні промзона  	noun:f:v_mis 	
(		-	 		- 	
така	такий 		adj:f:v_naz:&pron:def 	
собі	себе 		noun:m:v_dav:&pron:refl  	
оаза	оаза 		noun:f:v_naz 	
відгороджена відгороджений adjp:pasv:perf:f:v_naz 	
стінами	стіна 		noun:p:v_oru 	
від		від 		prep:rv_rod 	
промзони промзона 	noun:f:v_rod  	
)		- 	 		- 	
Територія територія noun:f:v_naz 	
,		-	 		- 	
озеро	озеро 		noun:n:v_naz  	
,		-	 		- 	
спортивні спортивний adj:p:v_naz 
зони	зона  		noun:p:v_naz  	
,		-	 		- 	
чистий	чистий 		adj:m:v_naz:compb  	
і		і	 		conj:coord  	
комфортний комфортний adj:m:v_naz:compb  	
номер	номер 		noun:m:v_naz  	
У		у	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
вас		ви  		noun:p:v_mis:anim:&pron:pers:2	
дуже	дуже 		adv:compb 	
брудно	брудно 		adv:compb 	
!		- 			- 	
!		-	 		- 	
!		-	 		- 	
!		-	 		- 	
!		-	 		SENT_END 	
		-	 		SENT_START 	
Брудний	брудний 	adj:m:v_naz:compb  	
ліфт	ліфт 		noun:m:v_naz  	
,		-	 		- 	
брудний	брудний 	adj:m:v_naz:compb  	
туалет	туалет 		noun:m:v_naz 
,		-	 		- 	
брудні	брудний 	adj:p:v_naz:compb  	
стіни	стіна 	 	noun:p:v_naz  	
в		в	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
ванні	ванна 		noun:f:v_mis  	
.		-	 		SENT_END 	
		-	 		SENT_START 	
Ви		ви	 		noun:p:v_naz:anim:&pron:pers:2	
маєте	мати 		verb:pres:p:2:imperf  	
дуже	дуже		adv:compb  	
гпрне	-			- 	
розміщення розміщення noun:n:v_zna  	
,		-	 		- 	
якщо	якщо 		conj:subord 	
у		у	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
вас		ви 			noun:p:v_rod:anim:&pron:pers:2	
можна	можна 		predic 	
було	бути 		verb:past:n:imperf 	
б		б	 		part 	
поснідати поснідати verb:inf:perf 	
на		на 			prep:rv_zna:rv_mis 	
терасі	тераса 	 	noun:f:v_mis 	
з		з	 		prep:rv_rod:rv_zna:rv_oru 	
виглядом вигляд 	noun:m:v_oru 	
на		на 		 	part  	
озеро	озеро 		noun:n:v_zna 	
,		-	 		- 	
було	бути 		verb:past:n:imperf 	
б		б	 		part 	
дуже	дуже 		adv:compb 	
мило	мило		adv:compb 
.		- 			SENT_END 	
		- 			SENT_START 	
Шикарне	шикарний 	adj:n:v_naz  	
місце	місце 		noun:n:v_naz  	
розташування розташування noun:n:v_rod  	
,	  	- 	 		- 	
ціна	ціна 		noun:f:v_naz 	
приваблива привабливий adj:f:v_naz:compb 	
.		-	 		SENT_END 	
		- 			SENT_START 	
Озеро	озеро 		noun:n:v_naz  	
просто	просто 		adv:compb 	
супер	супер 		noun:m:v_naz  	
,		-	 		- 	
якби	якби 		conj:subord 	
ще		ще	 		part 	
можна	можна 		predic 	
було	бути 		verb:past:n:imperf 	
попити	попити 		verb:inf:perf  	
кави	кава 		noun:f:v_rod 	
на		на	 		prep:rv_zna:rv_mis 	
терасі	тераса 		noun:f:v_mis 	
з		з	 		prep:rv_rod:rv_zna:rv_oru	
виглядом вигляд 	noun:m:v_oru 	
на		на 		 	prep:rv_zna:rv_mis 	
озеро	озеро 		noun:n:v_zna 	
,		-	 		- 	
було	бути 		verb:past:n:imperf 	
б		б	 		part 	
дуже	дуже 		adv:compb 	
красиво	красиво 	adv:compb 	
...		- 			SENT_END 	
		- 			SENT_START 	
Ми		ми	 		noun:p:v_naz:anim:&pron:pers:1 	
були	бути 		verb:past:p:imperf 	
в		в	 		prep:rv_zna:rv_mis:rv_rod:v-u 	
суботу	субота 		noun:f:v_zna 	
і		і	 		conj:coord  	
фактично фактично 	adv 	
не		не	 		part 	
могли	могти 		verb:past:p:imperf 	
нічого 	ніщо 		noun:v_rod:inanim:&pron:neg  	
