Token				Lemma			Part-of-speech					 Chunk
						- 			SENT_START 
нічого				нічого 			predic 
Непрофесійний		непрофесійний 	adj:m:v_naz  
персонал			персонал 		noun:m:v_naz 
,						- 			- 
який				який 			pron:int:rel:def 
не					не				part 
може				могти 			verb:unknown 					 (verb:pres:s:3:imperf)
надати				надати 			verb:inf:perf 
потрібну			потрібний 		adj:f:v_zna:compb 
інформацію			інформація 		noun:f:v_zna 
гостям				гість 			noun:p:v_dav:anim
;						- 			- 
неякісний			неякісний 		adj:m:v_naz 
алкоголь			алкоголь 		noun:m:v_naz 
;					- 				- 
зміна				зміна 			noun:f:v_naz 
ціни				ціна			noun:f:v_rod 
на					на 				part 
кальян				кальян 			noun:m:v_zna 
на ходу				на ходу			adv 
.					-				SENT_END 
									PARA_END

					- 				SENT_START 
Дякую				дякувати 		verb:pres:s:1:imperf 
закладу				заклад 			noun:m:v_dav 
"					- 				- 
Львівські			львівський 		adj:p:v_naz 
пляцки				пляцок 			noun:p:v_naz 
"					- 				- 
дуже				дуже  			adv 
смачно				смачно			adv:compb 
та					та 				conj:coord 
ситно				ситно			adv:compb 
)					- 				- 
Нам					ми 				noun:p:v_dav:anim:&pron:pers:1	  (pron:pers:p:1:v_dav:anim)
дуже				дуже 			adv 
сподобалося			сподобатися 	verb:rev:past:n:perf 
,					- 				- 
хоча				хоча 			conj:subord 
ми					ми 				noun:p:v_naz:anim:&pron:pers:1	  (pron:pers:p:1:v_naz:anim)
були				бути 			verb:past:p:imperf 
і					і 				part 
о					о 				prep:rv_mis 
8.00				8.00 			time 
ранку				ранок 			noun:m:v_rod 
першими				перший 			adj:p:v_oru 
гостями				гість 			noun:p:v_oru:anim 
...					- 				- 
посмішка			посмішка 		noun:f:v_naz 
на					на 				prep:rv_mis 
обличчі				обличчя 		noun:n:v_mis 
персоналу			персонал 		noun:m:v_rod 
,					- 				- 
смачні				смачний 		adj:p:v_naz:compb  
сирники				сирник 			noun:p:v_naz 
,					- 				- 
штруделі			штрудель 		noun:p:v_naz:alt 
,					- 				- 
кава				кава 			noun:f:v_naz 
...					- 				- 
.					- 				- 
ммм					-	 			-								 (excl)
)					- 				- 
і					і 				conj:coord 
ще					ще 				adv 
окремої				окремий 		adj:f:v_rod 
уваги				увага 			noun:f:v_rod 
заслуговує			заслуговувати 	verb:pres:s:3:imperf 
інтер'єр			інтер'єр 		noun:m:v_naz 
-					- 				- 
класний				класний 		adj:m:v_naz 
,					- 				- 
продуманий			продуманий 		adjp:pasv:past:m:v_naz 
...					- 				- 
класні				класний 		adj:p:v_naz 
фото				фото 			noun:p:v_naz:nv  
виходять			виходити 		verb:pres:p:3:imperf 
)					- 				- 
Одне				один 			numr:n:v_naz 
розчарування		розчарування 	noun:n:v_naz 
,					- 				- 
так як				так як			adv:bad 
ми					ми				noun:p:v_naz:anim:&pron:pers:1	(pron:pers:p:1:v_naz:anim)
були				бути 			verb:past:p:imperf 
так					так 			part 
зарано				зарано 			adv 
,					- 				- 
то					то 				conj:subord 
в					в 				prep:rv_mis:v-u 
наявності			наявність 		noun:f:v_mis 
були				бути 			verb:past:p:imperf 
не					не 				part 
всі					весь 			adj:p:v_naz:&pron:dem
штруделі			штрудель 		noun:p:v_naz:alt 
...					- 				- 
так					так 			part 
хотілося			хотітися 		verb:rev:past:n:imperf 
спробувати			спробувати 		verb:inf:perf 
штрудля				штрудель 		noun:m:v_rod:alt
з					з 				prep:rv_oru 
лососем				лосось 			noun:m:v_oru:anim 
,					- 				- 
але					але 			conj:coord 
його				він				adj:m:v_zna:nv:&pron:pos  		(pron:pers:m:3:v_zna:anim)
ще					ще 				adv 
не					не 				part 
спекли				спекти 			verb:past:p:perf 
(					- 				- 
тому				тому 			adv 
побажання			побажання 		noun:n:v_naz 
керівництву			керівництво 	noun:n:v_dav  
...					- 				- 
.					- 				- 
