words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
окиснення,U,0,0,0,-1
окиснювання,U,0,0,0,-1
оксидація,U,0,0,0,-1
окиснювати,U,0,0,0,-1
окисняти,U,0,0,0,-1
окиснити,U,0,0,0,-1
оксидувати,U,0,0,0,-1
окиснювач,U,0,0,0,-1
окисник,U,0,0,0,-1
оксидатор,U,0,0,0,-1
окістя,U,0,0,0,-1
надкісниця,U,0,0,0,-1
періост,U,0,0,0,-1
окликати,-,1,0,0,6
окрикати,-,1,0,0,7
окрикувати,-,1,0,0,7
окрикнути,-,1,0,0,7
накликати,-,2,0,0,5
окликнути,-,1,0,0,7
околиця,+,0,0,1,11
округа,+,0,0,1,12
край,A,1,0,1,10
периферія,+,0,0,1,12
царина,+,0,0,2,11
околишній,+,0,0,1,8
навколишній,+,0,0,1,7
довколишній,+,0,0,2,8
сусідній,+,0,0,1,9
окоренок,U,0,0,0,-1
прикорінь,U,0,0,0,-1
прикорень,U,0,0,0,-1
прикоренок,U,0,0,0,-1
відземок,U,0,0,0,-1
стовбур,U,0,0,0,-1
окраєць,+,0,0,1,11
цілушка,+,0,0,1,12
окрайок,+,0,0,1,12
скиба,+,0,0,1,12
шматок,+,0,0,3,10
окраса,+,0,0,2,11
оздоба,+,0,0,2,12
прикраса,+,0,0,2,12
краса,+,0,0,2,11
слава,+,0,0,1,10
окремий,+,0,0,1,6
самостійний,+,0,0,1,5
поодинокий,A,1,0,1,7
незв'язаний,+,0,0,1,7
роз'єднаний,+,0,0,1,7
деякий,+,0,0,1,7
ізольований,+,0,0,1,7
відрубний,+,0,0,1,7
відокремлений,+,0,0,3,7
окремо,-,1,0,0,10
зокрема,-,1,0,0,11
різно,-,1,0,0,11
нарізно,-,1,0,0,11
порізно,-,1,0,0,11
осібно,-,1,0,0,11
уроздріб,-,1,0,0,11
осторонь,-,1,0,0,9
окреслити,A,1,1,0,5
окреслювати,A,1,1,0,5
обкреслювати,U,0,0,0,6
обкреслити,U,0,0,0,6
обрисовувати,-,1,0,0,6
обрисувати,-,1,0,0,6
описувати,-,1,0,0,6
описати,-,1,0,0,6
розмічати,U,0,0,0,6
розмітити,U,0,0,0,6
обмальовувати,U,0,0,0,6
обмалювати,U,0,0,0,6
відтіняти,-,1,0,0,6
відтінювати,-,1,0,0,6
відтінити,-,1,0,0,6
визначати,A,1,1,0,4
зображати,-,6,0,0,5
окріп,U,0,0,0,-1
кип'яток,U,0,0,0,-1
кипінь,U,0,0,0,-1
кипень,U,0,0,0,-1
вар,U,0,0,0,-1
кип'яч,U,0,0,0,-1
окуліст,U,0,0,0,-1
офтальмолог,U,0,0,0,-1
окупант,U,0,0,0,-1
загарбник,U,0,0,0,-1
наїзник,U,0,0,0,-1
займанець,U,0,0,0,-1
поневолювач,U,0,0,0,-1
оливо,U,0,0,0,-1
Плюмбій,U,0,0,0,-1
Плюмбум,U,0,0,0,-1
первень,U,0,0,0,-1
олійниця,U,0,0,0,-1
олійня,U,0,0,0,-1
омана,+,0,0,2,8
обман,+,0,0,2,9
ілюзія,+,0,0,2,7
примара,+,0,1,3,8
оманливий,-,1,0,0,2
обманливий,-,2,0,0,2
обманний,-,3,0,0,3
оманний,-,2,0,0,2
мішурний,-,1,0,0,3
примарний,-,1,0,0,1
омела,U,0,0,0,-1
гомела,U,0,0,0,-1
імела,U,0,0,0,-1
омельга,U,0,0,0,-1
зимозелень,U,0,0,0,-1
опадати,+,2,0,4,4
опасти,+,1,0,2,4
обпадати,A,1,0,1,4
обпасти,-,1,0,0,4
падати,+,0,0,2,3
облітати,-,2,0,1,4
облетіти,-,2,0,1,4
спадати,+,0,0,2,4
спасти,+,0,0,2,4
осипатися,A,1,0,1,4
обсипатися,A,1,0,1,5
сипатис,+,0,0,1,5
оббиватися,+,0,0,1,5
оббитися,+,0,0,1,5
звисати,+,0,0,9,4
опускатися,+,2,2,7,4
осідати,+,0,0,1,3
стухати,+,0,0,1,5
худнути,+,0,0,1,5
опалий,U,0,0,0,-1
обпалий,U,0,0,0,-1
осипаний,U,0,0,0,-1
палий,U,0,0,0,-1
опалити,-,2,0,0,5
опалювати,-,3,0,0,5
обігрівати,-,1,0,0,6
обігріти,-,1,0,0,6
огрівати,-,1,0,0,5
огріти,-,1,0,0,5
обпалити,-,3,0,0,4
опалювач,U,0,0,0,-1
грубник,U,0,0,0,-1
паровичник,U,0,0,0,-1
опам'ятатися,0,0,4,0,6
опам'ятовуватися,0,0,2,0,6
отямитися,0,0,2,0,6
отямлюватися,0,0,2,0,6
стямитися,0,0,2,0,6
схаменутися,0,0,1,0,6
опритомніти,0,0,2,0,5
опритомнювати,0,0,1,0,7
спам'ятатися,0,0,1,0,7
спам'ятовуватися,0,0,1,0,7
спом'янутися,0,0,1,0,7
споминатися,0,0,1,0,7
прокинутися,A,0,1,1,5
прокидатися,A,0,1,1,5
опам'ятуватис,0,0,1,0,7
протверезіти,0,0,1,0,7
одуматися,0,0,1,0,7
оговтатися,0,0,3,0,5
оговтуватися,0,0,4,0,5
розбуркатися,0,0,1,0,6
розбуркуватися,0,0,1,0,6
очуняти,0,0,2,0,6
очунятися,0,0,2,0,6
очунювати,0,0,2,0,6
прочуняти,0,0,2,0,6
прочунятися,0,0,2,0,6
прочунювати,0,0,2,0,6
оперета,U,0,0,0,-1
музична_комедія,U,0,0,0,-1
опинитися,0,0,2,0,6
опинятися,0,0,1,0,7
потрапити,0,0,1,0,5
потрапляти,0,0,1,0,5
підпасти,0,0,2,0,6
підпадати,0,0,2,0,6
опитування,U,0,0,0,-1
референдум,U,0,0,0,-1
опівночі,U,0,0,0,-1
опівніч,U,0,0,0,-1
уночі,U,0,0,0,-1
опір,U,0,0,0,-1
спротив,U,0,0,0,-1
відсіч,U,0,0,0,-1
опірність,U,0,0,0,-1
оплески,U,0,0,0,-1
аплодисменти,U,0,0,0,-1
овація,U,0,0,0,-1
оповивати,-,4,1,0,3
оповити,-,5,2,0,3
огортати,-,3,1,0,3
обгортати,-,5,1,0,3
огорнути,-,3,1,0,3
обгорнути,-,4,1,0,3
обволікати,A,1,1,0,3
обволокти,A,1,1,0,3
заволікати,-,1,0,0,4
заволокти,-,1,0,0,4
затягати,-,2,0,0,4
затягувати,-,2,0,0,4
затягти,-,2,0,0,4
затягнути,-,2,0,0,4
облягати,-,15,1,0,3
облягти,-,4,0,0,4
повивати,-,5,0,0,4
повити,-,5,0,0,4
обвивати,-,5,1,0,3
обвити,-,11,1,0,3
покривати,-,5,0,0,4
покрити,-,3,0,0,4
укривати,-,3,0,0,4
вкривати,-,3,0,0,4
укрити,-,2,0,0,4
вкрити,-,3,0,0,4
застилати,-,1,0,0,4
застеляти,-,1,0,0,4
застелити,-,1,0,0,4
заслати,-,1,0,0,4
охоплювати,0,0,3,0,2
обхоплювати,-,4,1,0,3
охопити,-,4,2,0,3
обхопити,-,5,1,0,3
обіймати,-,6,2,0,3
обнімати,-,3,1,0,3
обняти,-,2,1,0,3
обійняти,-,4,2,0,3
оточувати,-,5,1,0,3
оточити,-,3,1,0,3
оступати,-,2,0,0,4
обступати,-,3,0,0,4
оступити,-,2,0,0,4
обступити,-,3,0,0,4
обкладати,-,1,0,0,4
обкласти,-,3,0,0,4
обікласти,-,2,0,0,4
уповивати,-,1,0,0,4
вповивати,-,1,0,0,4
уповити,-,1,0,0,4
вповити,-,1,0,0,4
поймати,-,2,0,0,3
пойняти,-,2,0,0,3
облизувати,-,1,0,0,4
облизати,-,1,0,0,4
притуманювати,-,1,0,0,4
притуманити,-,1,0,0,4
опуститися,+,2,0,4,4
наповнити,A,1,1,0,3
обвівати,0,1,3,0,3
обкручувати,-,2,0,0,2
сповивати,-,1,0,0,4
оповиватися,-,3,0,0,5
оповитися,-,1,0,0,6
огортатися,-,1,0,0,6
обгортатися,-,1,0,0,6
огорнутися,-,1,0,0,6
обгорнутися,-,1,0,0,6
обволікатися,-,1,0,0,6
обволоктися,-,1,0,0,6
заволікатися,-,1,0,0,6
заволоктися,-,1,0,0,6
затягатися,-,1,0,0,6
затягуватися,-,1,0,0,6
затягтися,-,1,0,0,6
затягнутися,-,1,0,0,6
повиватися,A,1,1,0,5
повитися,A,1,1,0,5
обвиватися,-,1,0,0,5
обвитися,-,1,0,0,5
укриватися,-,1,0,0,5
вкриватися,-,3,0,2,5
укритися,-,1,0,0,6
вкритися,-,3,0,2,5
покриватися,-,3,0,0,6
покритися,-,3,0,0,6
застилатися,-,1,0,0,6
застелитися,-,1,0,0,6
угортатися,-,1,0,0,6
вгортатися,-,1,0,0,6
угорнутися,-,1,0,0,6
вгорнутися,-,1,0,0,6
одягатися,-,2,0,0,4
