Token			Lemma			Part-of-speech				Chunk
						PARA_START
			-			SENT_START 
Так			так 			part 
,			-			- 
Gas			- 			- 
Station			- 			- 
тепер			тепер 			adv 
ЗОВСІМ			зовсім 			adv 
НОВИЙ			новий 			adj:m:v_naz:compb 
!			- 			SENT_END
 
			- 			SENT_START 
ЦЕ			- 			part
точно			точно 			adv 
)			- 			-
Йшли			йти 			verb:past:p:imperf 
в			в 			prep:rv_mis:v-u 
надії			надія 			noun:f:v_mis 
зустріти		зустріти 		verb:inf:perf 
гарні			гарний 			adj:p:v_zna:compb 
зміни			зміна 			noun:p:v_zna 
,			- 			- 
бо			бо 			conj:subord 
ще			ще 			part 
до			до 			prep:rv_rod 
закриття		закриття 		noun:n:v_rod  
все			весь			pron:dem 
було			бути 			verb:past:n:imperf 
непогано		непогано 		adv 
,			- 			- 
а			а 			conj:coord 
побачили		побачити 		verb:past:p:perf 
...			- 			SENT_END 
			
			- 			SENT_START
Скупе			скупий 			adj:n:v_zna:compb  
меню			меню 			noun:n:v_zna:nv 
(			- 			- 
реально			реально 		adv:compb 
-			- 			- 
нема			нема 			predic
з			з 			prep:rv_rod
чого			що 			noun:n:v_rod
вибрати			вибрати 		verb:inf:perf 
,			- 			- 
якісь			якийсь 			pron:ind				(pron:rel) 
самі			сам 			pron:def  
ковбаски		ковбаска 		noun:p:v_naz 
)			- 			- 
,			- 			- 
несмачне		несмачний 		adj:n:v_naz  
пиво			пиво 			noun:n:v_naz 
(			- 			- 
не			не 			part 
розумію			розуміти 		verb:pres:s:1:imperf 
чому			чому 			adv
,			- 			- 
але			але 			conj:coord  
смак			смак 			noun:m:v_naz 
дивний			дивний 			adj:m:v_naz:compb 
явно			явно 			adv 
)			- 			- 
,			- 			- 
офіціант		офіціант 		noun:m:v_naz:anim 
до			до 			prep:rv_rod 
нас			ми 			noun:p:v_rod:anim:pron:pers:1 
НЕ			не 			part 
підійшов		підійти 		verb:past:m:perf 
,			- 			- 
ми			ми 			noun:p:v_naz:anim:&pron:pers:1 
сиділи			сидіти 			verb:past:p:imperf 
-			- 			- 
нам			ми 			noun:p:v_dav:anim:&pron:pers:1 
набридло		набриднути 		verb:past:n:perf 
чекати			чекати 			verb:inf:imperf 
і			і 			conj:coord 
ми			ми 			noun:p:v_naz:anim:&pron:pers:1 
самі			сам  			adj:p:v_naz:&pron:def 
пішли			піти 			verb:past:p:perf 
на			на 			prep:rv_mis 
стійку			стійка 			noun:f:v_zna 
,			- 			- 
щоб			щоб 			conj:subord 
зробити			зробити 		verb:inf:perf 
замовлення		замовлення 		noun:n:v_zna 
.			- 			SENT_END

			- 			SENT_START 
Але			але 			conj:coord 
найцікавіше		цікавий 		adj:n:v_naz:super 
-			- 			- 
картка			картка 			noun:f:v_naz 
постійного		постійний 		adj:m:v_rod 
клієнта			клієнт 			noun:m:v_rod:anim 
(			- 			- 
справді			справді 		adv 
постійного		постійний 		adj:m:v_rod 
,			- 			- 
бо			бо 			conj:subord 
і			і 			conj:coord 
в			в 			prep::rv_mis 
радості			радість 		noun:f:v_mis 
,			- 			- 
і			і 			conj:coord 
в			в 			prep:rv_mis 
горі			горе 			noun:n:v_mis 
,			- 			- 
як			як 			part 
то			то 			conj:subord 
кажуть			казати 			verb:pres:p:3:imperf 
,			- 			- 
але			але 			conj:coord 
тепер			тепер 			adv 
вже			вже 			adv:v-u 
колишнього		колишній 		adj:m:v_rod 
клієта			клієнт			noun:m:v_rod:anim 
;			- 			- 
НЕ			не 			part 
діяла			діяти 			verb:past:f:imperf 
.			- 			SENT_END
 
			- 			SENT_START 
КРАПКА			крапка 			noun:f:v_naz 
.			- 			SENT_END 

			- 			SENT_START 
Занавєс			- 			- 
Дуже			дужий 			adj:n:v_naz:compb 			(adv)
						adj:n:v_zna:compb 
шкода			шкода 			noun:f:v_naz 
,			- 			- 
бо			бо 			conj:subord 
я			я 			noun:s:v_naz:anim:&pron:pers:1
любила			любити 			verb:past:f:imperf 
Gas			- 			- 
Station			- 			- 
...			- 			SENT_END 
						PARA_END

						PARA_START
			- 			SENT_START 
Дякую			дякувати 		verb:pres:s:1:imperf 
за			за 			prep:rv_zna 
відповідь		відповідь 		noun:f:v_zna 
,			- 			- 
але			але 			conj:coord 
і			і 			conj:coord 
пиво			пиво 			noun:n:v_naz 
,			- 			- 
і			і 			conj:coord 
меню			меню 			noun:n:v_naz:nv 
мене			я 			noun:s:v_rod:anim:&pron:pers:1
розчарувало		розчарувати 		verb:past:n:perf 
(			- 			- 
я			я 			noun:s:v_naz:anim:&pron:pers:1
вже			вже 			adv:v-u 
змовчала		змовчати 		verb:past:f:perf 
,			- 			- 
але			але 			conj:coord 
тепер			тепер 			adv:&pron:dem 
скажу			сказати 		verb:futr:s:1:perf
-			- 			- 
з			з			prep:rv_rod 
бастурми		бастурма 		noun:f:v_rod 
чомусь			чомусь 			adv:&pron:ind 
була			бути 			verb:past:f:imperf 
зрізана			зрізаний 		adjp:pasv:past:f:v_naz 
пекуча			пекучий 		adj:f:v_naz:compb 
шкірка			шкірка 			noun:f:v_naz 
)			- 			-  
вперше			вперше 			adv:v-u 
з			з 			prep:rv_oru 
таким			такий 			adj:m:v_oru 
стикнулась		стикнутися 		verb:rev:past:f:perf 
.			- 			SENT_END
 
			- 			SENT_START 
Тут			тут 			adv:&pron:dem 
не			не 			part 
потрібно		потрібно 		adv:compb 
виправдовуватись	виправдовуватися	verb:rev:inf:imperf 
,			- 			- 
бо			бо 			conj:subord 
це			- 			part
моє			мій 			pron:pos 
(			-			- 
і			і 			conj:coord 
мого			мій 			pron:pos 
чоловіка		чоловік 		noun:m:v_rod:anim 
)			- 			- 
враження		враження 		noun:n:v_naz 
,			- 			- 
його			воно 			pron:pers:3
не			не 			part 
переробиш		переробити 		verb:futr:s:2:perf 
.			- 			SENT_END
  
			- 			SENT_START 
Ще			ще 			part 
дивує			дивувати 		verb:pres:s:3:imperf 
,			- 			- 
що			що 			conj:subord 
для			для 			prep:rv_rod 
оновлення		оновлення 		noun:n:v_rod 
програми		програма 		noun:f:v_rod 
вам			ви 			noun:p:v_dav:anim:&pron:pers:2 
потрібно		потрібно 		adv:compb 
пару			пара 			noun:f:v_zna 
днів			день 			noun:p:v_rod 
,			- 			- 
і			і 			conj:coord 
альтернативи		альтернатива 		noun:f:v_rod 
ніякої			ніякий 			pron:neg 
не			не 			part 
було			бути 			verb:past:n:imperf 
(			- 			- 
чи			чи 			conj:coord 
не			не 			part 
хотіли			хотіти 			verb:past:p:imperf 
в			в 			prep:rv_zna 
той			той 			pron:dem 
день			день 			noun:m:v_zna 
робити			робити 			verb:inf:imperf 
скидку			скидка 			noun:f:v_zna:bad 
,			- 			- 
бо			бо 			conj:subord 
клієнтів		клієнт 			noun:p:v_rod:anim 
було			бути 			verb:past:n:imperf 
майже			майже 			adv 
нуль			нуль 			noun:m:v_naz				(adv)
)			- 			- 
.			- 			SENT_END
  
			- 			SENT_START 
Єдине			єдиний 			adj:n:v_naz 
,			- 			- 
що			що 			conj:subord 
сподобалось		сподобатися 		verb:rev:past:n:perf 
-			- 			- 
якийсь			якийсь 			pron:ind 
кавер-гурт		кавер-гурт 		noun:m:v_naz 
гарно			гарно 			adv:compb 
співав			співати 		verb:past:m:imperf 
на			на 			prep:rv_mis 
сцені			сцена 			noun:f:v_mis 
.			- 			SENT_END

			- 			SENT_START 
Але			але 			conj:coord 
більше			багато  		adv:compr 
я			я 			noun:s:v_naz:anim:&pron:pers:1
не			не 			part 
маю			мати 			verb:pres:s:1:imperf
бажання			бажання 		noun:n:v_zna 
оцінювати		оцінювати 		verb:inf:imperf 
ваші			ваш 			pron:pos 
"			- 			- 
покращення		покращення 		noun:p:v_zna 
"			- 			- 
.			- 			SENT_END 
						PARA_END 
 
						PARA_START
			- 			SENT_START 
Однозначно		однозначно 		adv 
не			не 			part 
рекомендую		рекомендувати 		verb:pres:s:1:imperf 
!			- 			SENT_END
 
			- 			SENT_START 
Запропонувала		запропонувати 		verb:past:f:perf 
там			там 			adv:&pron:dem 
провести		провести 		verb:inf:perf 
час			час 			noun:m:v_zna 
своім			- 			- 
знайомим		знайомий 		adj:p:v_dav 
і			і 			conj:coord 
була			бути 			verb:past:f:imperf 
