words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
доброволець,+,0,0,1,5
волонтер,+,0,0,1,6
охочий,+,1,0,2,4
добродійник,-,1,0,0,10
філантроп,-,1,0,0,11
доброчинець,-,1,0,0,11
добродій,-,1,0,0,9
доброзичливий,+,0,0,1,1
зичливий,+,0,0,1,2
прихильний,+,0,0,2,2
приязний,+,0,0,4,1
добрий,+,0,0,6,2
доброзичний,+,0,0,1,2
поблажливий,+,0,0,1,2
людяний,+,0,0,2,2
чулий,+,0,0,3,2
добротний,+,1,0,2,3
тривкий,-,2,0,0,2
доброякісний,+,0,0,1,4
високоякісний,+,0,0,1,2
якісний,+,0,0,1,2
доброчинність,U,0,0,0,-1
добродійність,U,0,0,0,-1
філантропія,U,0,0,0,-1
добродіяння,U,0,0,0,-1
добувати,+,0,0,4,6
добути,+,0,0,5,7
видобувати,+,0,0,2,6
видобути,+,0,0,2,6
виймати,+,0,0,10,6
вийняти,+,0,0,13,7
дістати,+,0,0,5,6
здобувати,+,0,0,1,5
знайти,+,0,0,9,7
одержати,+,0,0,8,6
довбати,+,0,0,2,6
довбти,+,0,0,1,6
роздовбувати,+,0,0,2,7
роздовбати,+,0,0,2,7
длубати,+,0,0,1,7
продовбувати,+,0,0,1,7
продовбати,+,0,0,1,7
продовбти,+,0,0,1,7
видовбувати,+,0,0,1,7
видовбати,+,0,0,1,7
довбатися,+,0,0,3,6
довбтися,+,0,0,2,6
длубатися,+,0,0,3,6
копирсатися,+,0,0,1,6
колупатися,+,0,0,1,7
возитися,+,0,0,1,5
вовтузитися,+,0,0,4,6
копатися,+,0,0,3,6
довгастий,-,1,0,0,5
видовжений,-,1,0,0,6
витягнений,-,1,0,0,6
витягнутий,-,1,0,0,6
подовжений,-,1,0,0,6
довгуватий,-,1,0,0,4
лінійний,-,1,0,0,6
овальний,-,1,0,0,6
заокруглений,-,1,0,0,6
довгий,-,2,0,0,3
довжелезний,-,2,0,0,3
довженний,-,2,0,0,3
довжезний,-,2,0,0,3
довгенький,-,1,0,0,4
доземний,-,1,0,0,2
додільний,-,1,0,0,4
тривалий,-,2,0,0,4
довгочасний,-,1,0,0,4
довго,+,0,0,3,5
чимало,+,0,0,2,4
чималу_годину,+,0,0,1,6
чималий_час,+,0,0,1,6
усе,+,0,0,1,5
все,+,0,0,1,5
довгенько,+,0,0,1,6
подовгу,+,0,0,1,6
довговічний,U,0,0,0,-1
багаторічний,U,0,0,0,-1
довгорічний,U,0,0,0,-1
довгоносик,U,0,0,0,-1
слоник,U,0,0,0,-1
вовчок_збіжжевий,U,0,0,0,-1
носач,U,0,0,0,-1
свинка,U,0,0,0,-1
довготелесий,-,2,0,0,3
високий,-,2,0,1,2
худий,-,2,0,0,4
незграбний,-,2,0,0,4
довготривалий,-,2,0,0,5
довершений,+,0,0,2,1
досконалий,+,0,0,2,1
довершити,+,0,0,3,6
довершувати,+,0,0,2,6
завершувати,+,0,0,2,7
завершити,+,0,0,2,7
закінчувати,+,0,0,8,6
закінчити,+,0,0,2,7
виконувати,+,0,0,2,5
виконати,+,0,0,2,5
довести,+,0,0,2,6
доводити,+,0,0,13,6
довід,-,1,0,0,7
потвердження,-,1,0,0,8
свідчення,-,1,0,0,6
арґумент,-,1,0,0,8
резон,-,1,0,0,8
доказ,-,1,0,0,8
підстава,A,2,0,2,8
довідатися,+,0,0,4,5
довідуватися,+,0,0,3,5
довідка,U,0,0,0,-1
посвідчення,U,0,0,0,-1
посвідка,U,0,0,0,-1
свідоцтво,U,0,0,0,-1
довідник,+,0,0,1,13
посібник,+,0,0,1,12
проспект,+,0,0,1,14
прейскурант,+,0,0,1,14
дізнаватися,+,0,0,4,4
дізнатися,+,0,0,5,5
вивідувати,+,0,0,2,4
вивідати,+,0,0,2,4
довіра,+,0,0,1,9
довір'я,+,0,0,1,10
віра,+,0,0,1,8
довірений,-,1,0,0,3
наближений,-,1,0,0,2
довірливий,U,0,0,0,5
легковірний,U,0,0,0,6
наївний,U,0,0,0,5
простакуватий,U,0,0,0,5
довіряти,+,0,0,2,5
довірятися,+,0,0,1,6
довіритися,+,0,0,1,6
вірити,+,0,0,1,6
йняти_віру,+,0,0,1,6
йняти_віри,+,0,0,1,6
пойняти_віру,+,0,0,1,6
пойняти_віри,+,0,0,1,6
покладатися,+,0,0,1,6
покластися,+,0,0,1,6
звірятися,+,0,0,1,6
звіритися,+,0,0,1,6
надіятися,+,0,0,1,6
увіряти,+,0,0,1,6
ввіряти,+,0,0,1,6
увірити,+,0,0,1,6
ввірити,+,0,0,1,6
увірятися,+,0,0,1,6
ввіритися,+,0,0,1,6
спускатися,+,0,0,4,4
спуститися,+,0,0,4,4
доручати,+,0,0,3,6
звіряти,+,0,0,5,6
довічний,-,3,0,0,5
вічний,-,2,0,0,4
споконвічний,-,2,0,0,4
одвічний,-,2,0,0,5
обґрунтовувати,+,0,0,1,7
обґрунтувати,+,0,0,1,7
мотивувати,+,0,0,2,7
умотивовувати,+,0,0,1,7
вмотивовувати,+,0,0,1,7
умотивувати,+,0,0,1,7
вмотивувати,+,0,0,1,7
показувати,+,0,0,12,7
показати,+,0,0,9,7
арґументувати,+,0,0,1,7
обставляти,+,0,0,2,6
обставити,+,0,0,2,6
підпирати,+,0,0,2,6
підперти,+,0,0,2,6
документувати,+,0,0,1,7
допроваджувати,+,0,0,2,6
допровадити,+,0,0,2,6
приводити,+,0,0,1,6
привести,+,0,0,1,6
припроваджувати,+,0,0,1,6
припровадити,+,0,0,1,6
призводити,+,0,0,1,7
призвести,+,0,0,1,7
уганяти,+,0,0,3,6
вганяти,+,0,0,3,7
повергати,+,0,0,1,7
повергнути,+,0,0,1,7
доносити,+,0,0,7,6
притирати,+,0,0,1,7
супроводжувати,+,0,0,2,7
доводитися,+,0,0,4,5
довестися,+,0,0,1,6
траплятися,+,0,0,4,5
трапитися,+,0,0,4,5
випадати,+,0,0,2,4
випасти,+,0,0,2,4
припадати,+,0,0,4,4
припасти,+,0,0,4,4
приходитися,+,0,0,3,5
прийтися,+,0,0,3,5
бути,+,0,0,4,5
матися,+,0,0,1,6
довшати,U,0,0,0,-1
видовжуватися,U,0,0,0,-1
видовжитися,U,0,0,0,-1
догана,+,0,0,1,11
нагінка,+,0,0,1,12
осуд,+,0,0,1,10
осуда,+,0,0,1,12
нотація,+,0,0,1,12
прочухан,+,0,0,1,12
прочуханка,+,0,0,1,12
доганяти,+,0,0,6,5
догнати,+,0,0,1,6
наздоганяти,+,0,0,1,4
наздогнати,+,0,0,1,4
здоганяти,+,0,0,1,6
здогнати,+,0,0,1,6
наганяти,+,0,0,1,4
нагнати,+,0,0,1,4
наспівати,+,0,0,1,6
наспіти,+,0,0,1,6
уганятися,+,0,0,3,5
вганятися,+,0,0,3,5
угнатися,+,0,0,1,6
вгнатися,+,0,0,1,6
настигати,+,0,0,1,6
настиг,+,0,0,1,6
настигнути,+,0,0,1,6
настигти,+,0,0,1,6
спобігати,+,0,0,1,6
спобігти,+,0,0,1,6
насідати,+,0,0,1,4
насісти,+,0,0,1,4
наступати,+,0,0,3,5
наступити,+,0,0,1,6
насідати_на_п'яти,+,0,0,1,6
насісти_на_п'яти,+,0,0,1,6
догідливий,+,0,0,3,2
запобігливий,+,0,0,1,2
запопадливий,+,0,0,1,3
запопадний,+,0,0,1,3
послужливий,+,0,0,1,2
увічливий,+,0,0,3,3
улесливий,+,0,0,1,3
догляд,U,0,0,0,-1
опіка,U,0,0,0,-1
опікування,U,0,0,0,-1
піклування,U,0,0,0,-1
нагляд,U,0,0,0,-1
доглядати,+,0,0,4,5
доглянути,+,0,0,1,6
стежити,+,0,0,1,6
слідкувати,+,0,0,1,6
пильнувати,+,0,0,1,6
наглядати,+,0,0,3,4
дивитися,+,0,0,4,5
глядіти,+,0,0,2,6
пантрувати,+,0,0,1,6
назирати,+,0,0,2,6
назирнути,+,0,0,2,4
приглядати,+,0,0,3,5
приглянути,+,0,0,3,5
приглядіти,+,0,0,3,5
пригледіти,+,0,0,3,5
придивлятися,+,0,0,2,4
кукобити,+,0,0,1,6
ходити,+,0,0,2,4
порати,+,0,0,1,6
поратися,+,0,0,3,5
няньчити,+,0,0,1,6
няньчитися,+,0,0,1,6
тішити,+,0,0,1,6
тішитися,+,0,0,1,6
панькати,+,0,0,1,6
панькатися,+,0,0,2,6
догоричерева,U,0,0,0,-1
навзнак,U,0,0,0,-1
горілиць,U,0,0,0,-1
додавати,+,0,0,15,6
додати,+,0,0,2,6
приєднувати,+,0,0,1,7
приєднати,+,0,0,1,7
докладати,+,0,0,3,7
докласти,+,0,0,3,7
прикладати,+,1,0,2,7
прикласти,+,2,0,8,7
прилучати,+,0,0,1,5
прилучити,+,0,0,1,5
долучати,+,0,0,1,7
долучити,+,0,0,1,7
домішувати,+,0,0,1,7
домішати,+,0,0,1,7
примішувати,+,0,0,2,7
примішати,+,0,0,2,7
підбавляти,+,0,0,1,7
підбавити,+,0,0,1,7
набавляти,+,0,0,3,7
набавити,+,0,0,3,7
надбавляти,+,0,0,1,7
надбавити,+,0,0,1,7
піддавати,+,0,0,2,6
піддати,+,0,0,3,6
прикидати,+,0,0,1,6
прикинути,+,0,0,2,7
накидати,+,0,0,3,7
накинути,+,0,0,3,7
приплюсовувати,+,0,0,1,7
приплюсувати,+,0,0,1,7
притуляти,+,0,0,2,6
притулювати,+,0,0,1,6
притулити,+,0,0,2,6
домірювати,+,0,0,1,7
доміряти,+,0,0,1,7
доповнювати,+,0,0,1,7
доповняти,+,0,0,1,7
доповнити,+,0,0,1,7
поповнювати,+,0,0,5,6
поповняти,+,0,0,2,7
поповнити,+,0,0,2,7
уносити,+,0,0,1,5
вносити,+,0,0,1,5
унести,+,0,0,1,5
внести,+,0,0,1,5
привносити,+,0,0,1,7
привнести,+,0,0,1,7
приточувати,+,0,0,3,7
приточити,+,0,0,3,7
доточувати,+,0,0,3,7
доточити,+,0,0,3,7
підкидати,+,0,0,2,6
підкидувати,+,0,0,1,7
підкинути,+,0,0,2,6
докидати,+,0,0,1,7
докинути,+,0,0,1,7
складати,+,0,0,5,5
скласти,+,0,0,2,5
прираховувати,+,0,0,1,7
прирахувати,+,0,0,1,7
збільшувати,+,0,0,3,5
надавати,+,0,0,9,7
додатковий,-,1,0,0,5
набавний,-,1,0,0,6
зайвий,-,1,0,0,6
побічний,-,1,0,0,4
проміжний,-,1,0,0,6
додаток,+,0,0,2,9
доповнення,+,0,0,1,10
довершення,+,0,0,1,8
придаток,+,0,0,1,10
додання,+,0,0,1,10
додача,A,1,0,1,10
придача,+,0,0,1,10
привісок,+,0,0,1,10
гак,+,0,0,1,9
доважок,+,0,0,1,10
додуматися,+,0,0,4,6
додумуватися,+,0,0,4,6
змірковувати,+,0,0,1,7
зміркувати,+,0,0,1,7
домірковуватися,+,0,0,1,7
доміркуватися,+,0,0,1,7
вимірковувати,+,0,0,1,7
виміркувати,+,0,0,2,7
придумати,+,0,0,3,6
додумувати,+,0,0,2,6
додумати,+,0,0,2,6
добирати,+,0,0,2,5
добрати,+,0,0,2,6
доібрати,+,0,0,1,7
прихитрятися,+,0,0,1,7
умудрувати,+,0,0,1,7
вмудрувати,+,0,0,1,7
домудруватися,+,0,0,1,7
домислюватися,+,0,0,1,7
домислитися,+,0,0,1,7
докумекати,+,0,0,1,7
докумекатися,+,0,0,1,7
домізкуватися,+,0,0,1,7
умудритися,+,0,0,1,7
вмудритися,+,0,0,1,7
знаходитися,+,0,0,1,6
знайтися,+,0,0,2,6
зрозуміти,+,0,0,5,6
дозвіл,+,0,0,1,5
згода,+,0,1,2,4
санкція,+,0,0,2,6
благословенство,+,0,0,1,6
ліцензія,+,0,0,2,5
дозволити,+,0,0,1,8
дозволяти,+,0,0,5,7
допускати,+,0,0,1,8
допустити,+,0,0,1,8
давати_право,+,0,0,1,8
дати_право,+,0,0,1,8
підпускати,+,0,0,1,8
підпустити,+,0,0,1,8
припускати,+,0,0,1,6
припустити,+,0,0,2,6
призволяти,+,0,0,1,8
призволити,+,0,0,1,8
благословляти,+,0,0,2,7
благословити,+,0,0,2,7
попускати,+,0,0,1,6
попустити,+,0,0,4,7
санкціонувати,+,0,0,1,8
доказувач,U,0,0,0,9
виказувач,U,0,0,0,10
викажчик,U,0,0,0,10
ябедник,U,0,0,0,10
ябеда,U,0,0,0,10
фіскал,U,0,0,0,10
навушник,U,0,0,0,10
шептун,U,0,0,0,8
нашіптувач,U,0,0,0,10
стукач,U,0,0,0,10
докір,+,0,0,1,11
закид,+,0,0,1,12
дорікання,+,0,0,1,12
докора,+,0,0,1,12
дотинок,+,0,0,1,12
попрікання,+,0,0,1,12
нагана,+,0,0,1,12
картання,+,0,0,1,12
перекори,+,0,0,1,12
докірливий,-,2,0,0,4
ущипливий,-,2,0,0,3
вщипливий,-,2,0,0,4
докладний,-,2,0,0,4
ґрунтовний,-,8,0,0,3
вичерпний,-,2,0,0,3
детальний,-,3,0,0,4
деталізований,-,3,0,0,4
доконечний,-,1,0,0,3
обов'язковий,-,2,0,0,4
неодмінний,-,3,0,0,4
неминучий,-,3,0,0,4
докорити,+,0,0,1,6
докоряти,+,0,0,4,5
докорінний,-,2,0,0,4
корінний,-,1,0,0,5
радикальний,-,3,0,0,4
ґенеральний,-,1,0,0,3
дорікати,+,0,0,1,6
доректи,+,0,0,2,6
дорікнути,+,0,0,1,6
закидати,+,0,0,4,6
закинути,+,0,0,3,6
корити,+,0,0,1,6
картати,+,0,0,1,6
ганити,+,0,0,1,6
виговорювати,+,0,0,1,6
виговорити,+,0,0,1,6
відчитувати,+,0,0,1,6
відчитати,+,0,0,1,6
вичитувати,+,0,0,1,5
вичитати,+,0,0,1,5
нарікати,+,0,0,1,6
пробирати,+,0,0,3,4
попрікати,+,0,0,1,6
попрікнути,+,0,0,1,6
точити,+,0,0,1,6
пиляти,+,0,0,1,6
поїдати,+,0,0,2,6
їсти,+,0,0,2,4
цвікати,+,0,0,1,6
цвіркати,+,0,0,2,6
цвікнути,+,0,0,1,6
цвіркнути,+,0,0,1,6
домовляти,+,0,0,2,6
колоти,+,0,0,3,6
штрикати,+,0,0,3,5
осуджувати,+,0,0,2,6
долина,+,0,0,1,12
діл,+,0,0,1,11
поділля,+,0,0,1,13
паділ,+,0,0,1,13
придолинок,+,0,0,1,13
тіснина,+,0,0,1,13
падина,+,0,0,1,13
долілиць,U,0,0,0,-1
ниць,U,0,0,0,-1
долічерева,U,0,0,0,-1
крижем,U,0,0,0,-1
долішній,U,0,0,0,-1
нижній,U,0,0,0,-1
спідній,U,0,0,0,-1
поприземний,U,0,0,0,-1
долото,U,0,0,0,-1
стамеска,U,0,0,0,-1
видовбувач,U,0,0,0,-1
скарпель,U,0,0,0,-1
доля,+,0,0,2,7
талан,+,0,0,1,8
жереб,+,0,0,1,8
хрест,+,0,0,1,8
зоря,+,0,0,1,8
зірка,+,0,0,2,8
щастя,+,0,0,2,7
судьба,+,0,0,1,8
фортуна,+,0,0,1,8
планета,A,1,0,1,8
планида,+,0,0,1,8
призначення,+,0,0,1,6
приречення,+,0,0,1,8
фатум,+,0,0,1,8
домагатися,+,0,0,3,5
вимагати,+,0,0,7,6
добиватися,+,0,0,1,4
добитися,+,0,0,2,4
доправлятися,+,0,0,2,4
допоминатися,+,0,0,1,6
домашній,U,0,0,0,-1
хатній,U,0,0,0,-1
свійський,U,0,0,0,-1
доморослий,U,0,0,0,-1
родинний,U,0,0,0,-1
саморобний,U,0,0,0,-1
домисел,-,1,0,0,9
здогад,-,1,0,0,10
припущення,-,2,0,0,10
гіпотеза,-,2,0,0,10
вигадка,-,2,0,0,8
домівка,-,1,0,0,9
житло,A,2,0,2,8
мешкання,-,1,0,0,9
дім,A,1,0,1,9
хата,-,2,0,0,9
господа,-,1,0,0,9
домінувати,+,0,0,2,7
панувати,+,0,0,1,6
переважати,+,0,0,1,6
превалювати,+,0,0,1,8
домірний,+,0,0,1,5
правильний,+,0,0,4,4
пропорційний,+,0,0,2,5
домішка,-,1,0,0,9
включення,-,1,0,0,10
компонент,-,2,0,0,8
примішка,-,1,0,0,10
присмака,-,1,0,0,10
домовитися,+,0,0,2,6
домовлятися,+,0,0,2,5
домовленість,A,0,1,1,5
умова,U,0,0,0,6
угода,0,0,1,0,4
злагода,+,0,0,1,5
установа,U,0,0,0,6
намова,U,0,0,0,6
умовитися,+,0,0,1,6
вмовитися,+,0,0,1,6
умовлятися,+,0,0,1,6
вмовлятися,+,0,0,1,6
змовитися,+,0,0,1,6
змовлятися,+,0,0,1,6
домовити,+,0,0,1,6
згоджуватися,+,0,0,2,6
зладитися,+,0,0,1,6
поладнатися,+,0,0,1,6
погодити,+,0,0,2,6
погоджувати,+,0,0,1,6
намовитися,+,0,0,1,6
намовлятися,+,0,0,1,6
урадити,+,0,0,1,6
врадити,+,0,0,1,6
урадитися,+,0,0,1,6
врадитися,+,0,0,1,6
зрадитися,+,0,0,1,6
збалакатися,+,0,0,1,6
зійтися,+,0,0,2,4
сходитися,+,0,0,1,4
домогтися,+,0,0,2,5
домувальник,-,1,0,0,7
домосід,-,1,0,0,8
домосида,-,1,0,0,8
хатник,-,1,0,0,8
сидень,-,1,0,0,8
пічкур,-,1,0,0,6
пічкурник,-,1,0,0,8
донедавна,+,0,0,1,7
досі,+,0,0,2,6
дотепер,+,0,0,2,7
донести,+,0,0,2,7
донестися,+,0,0,1,4
доноситися,+,0,0,3,3
донині,+,0,0,1,7
до,+,0,0,1,8
виказувати,+,0,0,5,7
виказати,+,0,0,5,7
капати,+,0,0,1,5
накапувати,+,0,0,1,7
накапати,+,0,0,1,7
ябедничати,+,0,0,1,7
фіскалити,+,0,0,1,7
нести,+,0,0,1,7
наносити,+,0,0,1,7
нанести,+,0,0,3,7
приносити,+,0,0,3,7
принести,+,0,0,10,6
віяти,+,0,0,4,5
навівати,+,0,0,1,6
навіювати,+,0,0,1,6
навіяти,+,0,0,2,6
повідомляти,+,0,0,10,6
