Token	  Lemma	   Part-of-speech	
           -        SENT_START 
піца	 піца      noun:f:v_naz 
дійсно	 дійсно    adv 
непогана непоганий adj:f:v_naz 
,	       -        - 
та	 та        conj:coord  
й	 й         conj:coord 
ціни	 цінити    noun:p:v_naz 
радують	 радувати  verb:pres:p:3:imperf 
.	      -         - 
але	 але       conj:coord  
ось	 ось       part 
яка	 як        adj:f:v_naz:&pron:int:rel:def 
штука	      -         - 
хотіла	 хотіти    verb:past:f:imperf 
отримати отримати  verb:inf:perf 
картку	 картка    noun:f:v_zna 
на	  на     prep:rv_zna:rv_mis 
10%	 10%       number 
знижку	 знижка    noun:f:v_zna 
(	      -          - 
коли	 коли      conj:subord 
є	 бути      verb:pres:s::imperf 
заказ	 -          - 
вище	 вище      adv:compr 
певної	 певний    adj:f:v_rod:compb 
суми	 сума      noun:p:v_zna 
то	 то        conj:subord 
таку	 такий     adj:f:v_zna:&pron:def 
можна	 можна     predic 
отримати отримати  verb:inf:perf 
)	      -          -
то	      -          -
стільки	 стільки   adv 
"	      -          - 
хороших	 хороший   adj:p:v_rod:compb 
"	      -          - 
ситуацій ситуація  noun:p:v_rod 
було	 бути      verb:past:n:imperf 
:	      -          - 
спочатку спочатку  adv 
в	 в         prep:rv_zna:rv_mis:rv_rod:v-u 
піцерії	 піцерія   noun:f:v_dav  
не	 не        part 
працював працювати verb:past:m:imperf 
касовий	 касовий   adj:m:v_naz:compb  
апарат	 апарат         -
і        і         conj:coord  
картку	 картка    noun:f:v_zna 
не	 не        part 
отримала отримати  verb:past:f:perf 
.	       -         - 
сказали	 сказати   verb:past:p:perf 
чек	 чек       noun:m:v_naz  
зберігти зберігти  verb:inf:perf:bad 
і	 і         conj:coord 
підійти	 підійти   verb:inf:perf 
пізніше	 пізній    adv:compr 
.	 -            SENT_END 
         -            SENT_START 
Підійшла підійти   verb:past:f:perf 
за	 за        prep:rv_rod:rv_zna:rv_oru 
іншою	 інший     adj:f:v_oru:&pron:def 
адресою	 адреса    noun:f:v_oru 
у	 у         prep:rv_zna:rv_mis:rv_rod:v-u 
піцерію	 піцерія   noun:f:v_zna 
(	      -            - 
це	 цей       adj:n:v_naz:&pron:dem 
ж	 ж         part  
ніби	 ніби      conj:subord 
мережа	 мережа    noun:f:v_naz 
все	 все       part:v-u 
ж	 ж         part 
таки	 таки      part 
)	      -         - 
,	      -         - 
там	 там        adv:&pron:dem  
спочатку спочатку   adv 
сказали	 сказати    verb:past:p:perf 
що	 що         conj:subord 
картки	 картка     noun:p:v_naz 
будуть	 бути       verb:futr:p:3:imperf 
тільки	 тільки     adv 
з	 з          prep:rv_rod:rv_zna:rv_oru 
20	 20         number 
числа	 число      noun:n:v_rod 
.	      -      SENT_END 
              -      SENT_START 
Підійшла  підійти    verb:past:f:perf 
після	  після      adv 
20	  20         number 
туди	  туди       adv:&pron:dem 
ж	   ж         part 
,	      -           -
сказали	  сказати    verb:past:p:perf 
щоя	      -           -
повинна	  повинний   adj:f:v_naz 
звернутись звернутися verb:rev:inf:perf 
у	   у         prep:rv_zna:rv_mis:rv_rod:v-u 
ту	   той       adj:f:v_zna:&pron:dem 
піцерію	  піцерія    noun:f:v_zna 
де	   де        part 
отримала  отримати   verb:past:f:perf 
чек	  чек        noun:m:v_zna 
(	       -             - 
спочатку  спочатку  adv 
такого	  такий     adj:m:v_rod:&pron:def 
не	  не        part 
сказали	  сказати   verb:past:p:perf 
)	        -            -   
.	        -       SENT_END 
                -       SENT_START 
Звернулася     звернутися   verb:rev:past:f:perf 
туди	       туди         adv:&pron:dem 
,	        -             - 
там	       там          adv:&pron:dem 
зсилаються	-             - 
на	       на           part 
те	       той          adj:n:v_zna:&pron:dem 
,	        -             - 
що	   що           conj:subord 
карток	   картка       noun:p:v_rod 
немає      немає        predic 
і	   і            conj:coord  
коли       коли         adv:&pron:int:rel   
будуть     бути         verb:futr:p:3:imperf 
невідомо   невідомо     adv 
(	         -             - 
може	   могти        verb:unknown 
через	   через        prep:rv_zna 
місяць	   місяць       noun:m:v_zna 
,	         -             - 
а	   а            conj:coord 
може	   могти        verb:unknown 
і	   і            conj:coord  
пізніше	   пізній       adv:compr 
)	          -            -
.	          -            -
так	   так          adv:&pron:dem
вони	   вони         noun:p:v_naz:&pron:pers:3 
і	   і            conj:coord 
не	   не           part 
хочуть	   хотіти       verb:pres:p:3:imperf 
видавати   видавати     verb:inf:imperf 
картку	   картка       noun:f:v_zna 
.	           -            - 
це	   цей          adj:n:v_naz:&pron:dem 
обурює	   обурювати    verb:pres:s:3:imperf 
!	 -                      - 
!	 -                      - 
!	 -                 SENT_END 
                           PARA_END  
         -                 SENT_START 
Крем-суп  крем-суп     noun:m:v_naz  
грибний	  грибний      adj:m:v_naz  
15	      15           number 
грн	      грн          noun:p:v_zna:nv:abbr 
.	        -          SENT_END 
                -          SENT_START 
Смакові	  смаковий      adj:p:v_naz 
якості	  якість        noun:p:v_naz 
посередньо посередньо    adv 
.	          -     SENT_END 
                        PARA_END 
                  -     SENT_START 
Смачна	  смачний       adj:f:v_naz:compb 
піца	  піца          noun:f:v_naz 
у	      у         prep:rv_zna:rv_mis:rv_rod:v-u 
серці     серце         noun:n:v_mis 
Львова	  Львова        noun:m:v_rod:anim:lname 
                -        SENT_END 
                         PARA_END 
                -        SENT_START 
смачна	  смачний        adj:f:v_naz:compb 
піца	  піца           noun:f:v_naz 
,	        -                 - 
але	  але            conj:coord 
довелось  довестися      verb:rev:past:n:perf 
довго     довго          adv:compb 
чекати	  чекати         verb:inf:imperf 
рахунок	  рахунок        noun:m:v_zna 
            -             SENT_END 
                          PARA_END 
            -             SENT_START 
Усім	  увесь          adj:p:v_dav:&pron:dem
привіт	  привіт         noun:m:v_naz 
!	          -        SENT_END 
                  -        SENT_START 
Вирішила  вирішити        verb:past:f:perf 
лишити	  лишити          verb:inf:perf 
тут	  тут             adv:&pron:dem 
свій	  свій            adj:m:v_zna:&pron:pos 
коментар  коментар        noun:m:v_zna 
на	  на              part 
огляд	  огляд           noun:m:v_zna 
іншим	  інший           adj:p:v_dav:&pron:def 
,	        -               - 
так	 так              part 
як	 як               part 
сама	 сам              adj:f:v_naz 
завжди	 завжди           adv:&pron:gen 
читаю	 читати           verb:pres:s:1:imperf 
відгуки	 відгук           noun:p:v_zna 
про	 про              prep:rv_zna 
заклади	 заклад           noun:p:v_zna  
які	 який             adj:p:v_naz:&pron:int:rel:def 
мене	 я                noun:s:v_rod:anim:&pron:pers:1
зацікавили зацікавити     verb:past:p:perf 
.	     -                SENT_END 
             -                SENT_START 
Тому	 тому             adv  
ділюся	 ділитися         verb:rev:pres:s:1:imperf 
з        з                prep:rv_rod:rv_zna:rv_oru 
вами	 ви               noun:p:v_oru:anim:&pron:pers:2
своїм	 свій             adj:m:v_oru:&pron:pos  
досвідом досвід           noun:m:v_oru 
.	       -             SENT_END 
               -             SENT_START 
Будучи	 будучи           advp:actv:past:bad 
великим	 великий          adj:m:v_oru:compb 
прихильником прихильник   noun:m:v_oru:anim 
італійської	 італійський  adj:f:v_rod 
кухні	  кухня           noun:f:v_rod  
,	        -                  - 
Челентано	 Челентано    noun:m:v_rod:nv:np:anim:lname
привернуло	 привернути   verb:past:n:perf 
мою	         мій          adj:f:v_zna:&pron:pos 
увагу	         увага        noun:f:v_zna 
.	           -          SENT_END 
                   -          SENT_START 
Ні	   ні            part 
для        для           prep:rv_rod 
кого       хто           noun:m:v_rod:anim:&pron:int:rel 
не	   не            part 
секрет	  секрет         noun:m:v_naz 
,	       -                   - 
що	    що           conj:subord 
італійська	італійський  adj:f:v_naz 
кухня	    кухня        noun:f:v_naz 
славиться   славитися    verb:rev:pres:s:3:imperf 
своїми	    свій         adj:p:v_oru:&pron:pos 
виробами    виріб        noun:p:v_oru 
з	        з        prep:rv_rod:rv_zna:rv_oru 
