Token	        Lemma    	Part-of-speech
                -               SENT_START 
атмосфера	атмосфера       noun:f:v_naz 
дуже	        дуже            adv
спокійна	спокійний       adj:f:v_naz:compb 
купа	        купа            noun:f:v_naz 
світла	        світло          noun:n:v_rod 
та	        та              conj:coord 
дикі	        дикий           adj:p:v_naz                               
кольори	        колір           noun:p:v_naz                                 
на	        на              prep:rv_zna:rv_mis 
стінах	        стіна           noun:p:v_mis 
.               -               SENT_START 
                -               SENT_START 
приємна	        приємний        adj:f:v_naz:compb 
музика	        музика          noun:f:v_naz                                
,               -               -
неголосна	неголосний      adj:f:v_naz 
.               -               SENT_START 
Це	        цей             adj:n:v_naz:&pron:dem                                
важливо	        важливо         adv:compb 
,               -               -
бо	        бо              conj:subord 
відпочиваєш	відпочивати     verb:pres:s:2:imperf 
всіма	        весь            adj:p:v_oru:&pron:dem
органами	орган           noun:p:v_oru 
відчуттів	відчуття        noun:p:v_rod
.               -               SENT_START  
Обслуговування	обслуговування  noun:n:v_naz                                 
не	        не              part 
пафосне	        пафосний        adj:n:v_naz 
                               ,	        -               - 
як	        як              adv:&pron:int:rel                                
на	        на              prep:rv_zna:rv_mis 
таку         	такий           adj:f:v_zna:&pron:def 
трохи    	трохи           adv 
ресторанну	ресторанний     adj:f:v_zna 
обстанівку	-               - 
—	        -               - 
це	        цей             adj:n:v_naz:&pron:dem                            
тішить	        тішити          verb:pres:s:3:imperf 
.	        -               SENT_END 
                -               SENT_START 
Піцца	        -               - 
—	        -               - 
дуже     	дуже            adv
велика	        великий         adj:f:v_naz:compb 
(	        -               - 
реально 	реально         adv:compb 
)	        -               - 
,	        -               - 
еквівалентна	еквівалентний   adj:f:v_naz 
3	        3               number 
середньостатистичним	середньостатистичний adj:p:v_dav 
піцам   	піца            noun:p:v_dav 
,	        -               - 
а	        а               conj:coord
вартує	        вартувати       verb:pres:s:3:imperf 
всередньому	-               - 
100         	100             number 
грн	        грн             noun:p:v_naz:nv:abbr 
—	        -               - 
так	       так              conj:coord:subord                                 
що	       що               conj:subord 
це	       цей              adj:n:v_naz:&pron:dem                               
економічно     економічно       adv 
вигідно	       вигідно          adv:compb 
)	       -                - 
)	       -                - 
)	       -                - 
.	       -                SENT_END 
               -                SENT_START 
Смак	       смак             noun:m:v_naz                                
трохи	       трохи            adv 
коригували     коригувати       verb:past:p:imperf 
перцем	       перець           noun:m:v_oru 
та     	       та               conj:coord                                
сіллю	       сіль             noun:f:v_oru 
,	       -                - 
не	       не               part  
було	       бути             verb:past:n:imperf 
смаку	       смак             noun:m:v_rod 
спецій         спеція           noun:p:v_rod 
піццових       -                - 
,	       -                - 
таких	       такий            adj:p:v_rod:&pron:def                               
як	       як               conj:subord 
орегано	       -                - 
чи	       чи               conj:coord:subord                                 
італійські     італійський      adj:p:v_naz                                 
трави	       трава            noun:p:v_naz                                
.	       -                SENT_END 
               -                SENT_START 
Але	       але              conj:coord                                 
нас	       ми               pron:pers:p:1:v_rod:anim
то	       то               adj:n:v_naz:&pron:dem 
особливо       особливо         adv 
не	       не               part 
засмутило      засмутити        verb:past:n:perf 
.	       -                SENT_END 
               -                SENT_START 
Можливо	       можливо          adv 
справа         справа           noun:f:v_naz 
в	       в                prep:rv_zna:rv_mis:rv_rod:v-u 
тісті	       тісто            noun:n:v_mis 
,	       -                - 
як	       як               conj:subord 
описувалося   описуватися       verb:rev:past:n:imperf 
в	      в                 prep:rv_zna:rv_mis:rv_rod:v-u 
попередніх    попередній        adj:p:v_mis                                 
дописах       допис             noun:p:v_mis 
.             -                 SENT_END 
              -                 SENT_START 
Загалом	      загалом           adv                        
задоволені    задоволений       adj:p:v_naz:compb:&adjp:pasv:past                                
.	      -                 SENT_END 
              -                 SENT_START 
Рекомендуємо  рекомендувати     verb:pres:p:1:imperf 
.	      -                 SENT_END 
              -                 SENT_START 
Можна	      можна             predic 
замовляти     замовляти         verb:inf:imperf 
з	      з                 prep:rv_rod:rv_zna:rv_oru
собою	      себе              pron:refl:m:v_oru                                  
.	      -                 SENT_END 
                                PARA_END 
              -                 SENT_START 
Шукав	      шукати            verb:past:m:imperf 
щойно	      щойно             adv                                 
в	      в                 prep:rv_zna:rv_mis:rv_rod:v-u 
гуглі	      -                 - 
телефон	      телефон           noun:m:v_zna 
цієї	      цей               adj:f:v_rod:&pron:dem 
піццерії      -                 - 
,	      -                 - 
щоб           щоб               conj:subord                                
замовити      замовити          verb:inf:perf 
і	      і                 conj:coord                            
приїхати      приїхати          verb:inf:perf 
забрати	      забрати           verb:inf:perf 
,	      -                 - 
натрапив      натрапити         verb:past:m:perf 
на	      на                prep:rv_zna:rv_mis 
цей	      цей               adj:m:v_zna:&pron:dem 
форум	      форум             noun:m:v_zna 
.	      -                 SENT_END 
              -                 SENT_START 
Я	      я                 pron:pers:s:1:v_naz:anim 
завжди	      завжди            adv:&pron:gen 
заходжу	      заходити          verb:pres:s:1:imperf 
на	      на                prep:rv_zna:rv_mis 
площу	      площа             noun:f:v_zna 
Франка        Франко            noun:m:v_rod:anim:fname                         
,	      -                 - 
але	      але               conj:coord                                
кажуть	      казати            verb:pres:p:3:imperf 
,	      -                 - 
що	      що                conj:subord 
                                pron:int:rel:n:v_naz 
                                pron:int:rel:n:v_zna 
ще	      ще                adv 
                                part 
десь	      десь              adv:&pron:ind                                  
на	      на                prep:rv_zna:rv_mis 
Сихові	      Сихів             noun:m:v_mis 
така	      такий             adj:f:v_naz:&pron:def 
піцерія	      піцерія           noun:f:v_naz 
є	      бути              verb:pres:p:1:imperf                                 
.	     -                  SENT_END 
             -                  SENT_START 
Ото	     ото                part 
почитав	     почитати           verb:past:m:perf 
гурманів     гурман             noun:p:v_zna:anim 
,	     -                  - 
ну	     ну                 excl                                 
так	     так                adv:&pron:dem 
вже	     вже                adv:v-u 
їм	     вони               pron:pers:p:3:v_dav:anim 
«      	     -                  - 
спеціїв	     -                  - 
піцевих	     -                  - 
»	     -                  - 
бракує	     бракувати          verb:pres:s:3:imperf 
,	     -                  - 
певно	     певно              adv:compb 
печуть	     пекти              verb:pres:p:3:imperf 
переважно    переважно          adv 
вдома	     вдома              adv:v-u 
з	     з                  prep:rv_rod:rv_zna:rv_oru 
вишуканих    вишуканий          adjp:pasv:past:p:v_rod:compb
продуктів    продукт            noun:p:v_rod 
або	     або                conj:coord 
в	     в                  prep:rv_zna:rv_mis:rv_rod:v-u 
Італію	     Італія             noun:f:v_zna 
щотижня      щотижня            adv 
літають	     літати             verb:pres:p:3:imperf 
«	     -                  - 
піцувати     -                  - 
»	     -                  - 
.	     -                  SENT_END 
             -                  SENT_START 
А	     а                  part 
скажу	     сказати            verb:futr:s:1:perf              
таке	     такий              adj:n:v_naz:&pron:def                                 
—	     -                  - 
піца	     піца               noun:f:v_naz 
дуже	     дуже               adv          
ЯКІСНА	     якісний            adj:f:v_naz:compb 
і	     і                  conj:coord                               
дуже	     дуже               adv            
СМАЧНА       смачний            adj:f:v_naz:compb 
,	     -                  - 
а	     а                  conj:coord                                  
приправ	     приправа           noun:p:v_rod            
таки	     таки               part 
додавати     додавати           verb:inf:imperf 
до	     до                 prep:rv_rod 
самку	     самка              noun:f:v_zna:anim 
треба        треба              predic 
індивідуально	індивідуально   adv 
,	     -                  - 
бо	     бо                 conj:subord                                 
всім	     весь               adj:p:v_dav:&pron:dem 
дійсно       дійсно             adv 
не	     не                 part 
вгодиш	     вгодити            verb:futr:s:2:perf:v-u 
.	     -                  SENT_END 
             -                  SENT_START 
Моя	     мій                adj:f:v_naz:&pron:pos 
молодша	     молодий            adj:f:v_naz:compr 
доня	     доня               noun:f:v_naz:anim 
,	     -                  - 
як	     як                 conj:subord                                 
лакмусовий   лакмусовий         adj:m:v_naz                                   
папірець     папірець           noun:m:v_naz                               
,	     -                  - 
що	     що                 conj:subord                                
небуть	     -                  - 
їсти	     їсти               verb:inf:imperf 
не	     не                 part 
буде	     бути               verb:futr:s:3:imperf 
,	     -                  - 
хоч	     хоч                conj:subord                                
би	     би                 part 
й	     й                  part 
голодна	     голодний           adj:f:v_naz:compb 
була         бути               verb:past:f:imperf 
добряче	     добрячий           adv
,	     -                  - 
—	     -                  - 
піцу	     піца               noun:f:v_zna 
Папероні     -                  - 
«	     -                  - 
одобрямс     одобрямс           -
»            -                  - 
з	     з                  prep:rv_rod:rv_zna:rv_oru
першого	     перший             adj:m:v_rod                                
разу	     раз                noun:m:v_rod 
.	     -                  SENT_END 
             -                  SENT_START 
Друзям	     друзі              noun:p:v_dav:anim 
і            і                  conj:coord 
знайомим     знайомий           adj:p:v_dav                                 
рекомендую   рекомендувати      verb:pres:s:1:imperf 
.	     -                  SENT_END 
             -                  SENT_START 
І	     і                  conj:coord                                
соленики     -                  - 
там	     там                adv:&pron:dem                                 
прості	     простий            adj:p:v_naz:compb                               
і	     і                  conj:coord                                 
добрі	     добрий             adj:p:v_naz:compb                                             
.	     -                  SENT_END 
             -                  SENT_START 
             -                  SENT_END 
                                PARA_END 
             -                  SENT_START 
Хотіла	     хотіти             verb:unknown 
вразити	     вразити            verb:inf:perf 
гостей	     гостя              noun:p:v_rod:anim                                 
з	     з                  prep:rv_rod:rv_zna:rv_oru 
Канади	     Канада             noun:f:v_rod 
«	     -                  - 
шматочком    шматочок           noun:m:v_oru 
»	     -                  - 
карпатської  карпатський        adj:f:v_rod 
природи	     природа            noun:f:v_rod 
у	     у                  prep:rv_zna:rv_mis:rv_rod:v-u 
місті	     місто              noun:n:v_mis 
Львові	     Львів              noun:m:v_mis 
.	     -                  SENT_END
             -                  SENT_START 
Пішли	     піти               verb:past:p:perf 
до	     до                 prep:rv_rod 
комплексу    комплекс           noun:m:v_rod 
«	     -                  - 
Гуцульська   гуцульський        adj:f:v_naz 
