Token	 Lemma	    Part-of-speech	          
         -          SENT_START 
Наш	  наш       adj:m:v_naz:&pron:pos 
улюблений улюблений	adj:m:v_naz:compb:&adjp:pasv:past
заклад	  заклад    noun:m:v_naz 
,	      -         - 
в	      в         prep:rv_zna:rv_mis:rv_rod:v-u 
якому	  який      adj:m:v_mis:&pron:int:rel:def 
ми	      ми        noun:p:v_naz:anim:&pron:pers:1 
вже	      вже       adv:v-u 
почуваємося	почуватися verb:rev:pres:p:1:imperf 
,	      -         - 
як	      як        conj:subord 
вдома	  вдома     adv:v-u 
.	      - 
                    SENT_END 
          -         SENT_START 
Саме	  саме      adv 
тут	      тут       adv:&pron:dem 
ми	      ми        noun:p:v_naz:anim:&pron:pers:1
у	      у         prep:rv_zna:rv_mis:rv_rod:v-u 
вузькому  вузький   adj:n:v_mis:compb 
і	      і         conj:coord 
дружньому дружній   adj:n:v_mis 
колі	  коло      noun:n:v_mis 
святкуємо святкувати verb:pres:p:1:imperf 
найгловніші	-       - 
події	  подія     noun:p:v_zna 
,	       -        - 
зустрічаємося	зустрічатися  verb:rev:pres:p:1:imperf 
з	      з         prep:rv_rod:rv_zna:rv_oru 
друзями	  друзі     noun:p:v_oru:anim 
,	       -        - 
або	      або       conj:coord 
просто	  просто    adv:compb 
їмо	      їсти      verb:pres:p:1:imperf 
надзвичайні	надзвичайний  adj:p:v_zna 
страви	  страва    noun:p:v_zna 
та	      та        conj:coord 
десерти	  десерт    noun:p:v_zna 
.         -         SENT_END 
          -         SENT_START 
Розмаїття	розмаїття  noun:n:v_naz 
та	      та        conj:coord 
вибір	  вибір     noun:m:v_naz 
тут	      тут       adv:&pron:dem 
просто	  просто    adv:compb 
вражають  вражати   verb:pres:p:3:imperf 
(	      -         - 
меню	  меню      noun:n:v_naz:nv 
саме	  саме      adv 
те	      той       adj:n:v_naz:&pron:dem 
 ,	      -         - 
що	      що        conj:subord 
я	      я         noun:s:v_naz:anim:&pron:pers:1 
полюбляю  полюбляти verb:pres:s:1:imperf 
,	      -         - 
корисна	  корисний  adj:f:v_naz:compb 
їжа	      їжа       noun:f:v_naz 
)	      -         - 
.	      -         SENT_END 
          -         SENT_START 
Всі	      весь      adj:p:v_naz:&pron:dem
