				-				SENT_START 
У				у				prep:rv_rod:v-u 
нас				ми				pron:pers:p:1:v_rod:anim 
було			бути			verb:past:n:imperf 
весілля			весілля			noun:n:v_naz 
в				в 				prep:rv_mis:v-u 
ресторані		ресторан		noun:m:v_mis 
"				- 				- 
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 
"				-				- 
(				-				- 
кільцева		кільцевий		adj:f:v_naz 
дорога			дорога			noun:f:v_naz 
Львова			Львів			noun:m:v_rod 
)				- 				- 
.				-				SENT_END 
				-				SENT_START 
Найбільше		багато			adv:super  
сподобалося		сподобатися		verb:rev:past:n:perf 
ставлення		ставлення		noun:n:v_naz 
персоналу		персонал 		noun:m:v_rod 
-				- 				- 
шеф-повар		шеф-повар		noun:m:v_naz:anim 
,				- 				- 
з				з				prep:rv_oru 
яким			який			pron:int:rel:def:m:v_oru
обговорювали	обговорювати	verb:past:p:imperf 
меню			меню			noun:n:v_zna:nv 
(				- 				- 
всі				весь			pron:dem:p:v_naz
страви			страва			noun:p:v_zna 
дійсно			дійсно			adv 
вишуканні		вишукання		noun:n:v_mis                     (adj:p:v_naz:compb)
,				- 				- 
не				не 				part 
буденні			буденний		adj:p:v_naz 
.				- 				SENT_END 
				-				SENT_START 
Окремо			окремо			adv 
купували		купувати		verb:past:p:imperf 
тільки			тільки			part 
червону			червоний		adj:f:v_zna:compb 
ікру			ікра			noun:f:v_zna 
і				і				conj:coord 
корзинки		корзинка		noun:p:v_naz:bad 
пісочні			пісочний		adj:p:v_naz 
замовляли		замовляти		verb:past:p:imperf 
в				в				prep:rv_mis:v-u 
Океані			океан			noun:m:v_mis 
.				-				SENT_END 
				- 				SENT_START 
Все				весь			pron:dem:n:v_naz
інше			інший 			pron:def:n:v_naz 
було			бути			verb:past:n:imperf 
від				від				prep:rv_rod 
закладу			заклад			noun:m:v_rod 
(				- 				- 
і				і 				conj:coord 
м'ясного		м'ясний			adj:m:v_rod 
було			бути 			verb:past:n:imperf 
дуже			дуже 			adv 
достатньо		достатньо 		adv 
,				- 				- 
хоча			хоча 			conj:subord 
наші			наш 			pron:pos:p:v_naz
батьки			батько			noun:p:v_naz:anim 
хвилювалися		хвилюватися 	verb:rev:past:p:imperf 
,				-				- 
що				що 				conj:subord 
буде			бути			verb:futr:s:3:imperf 
мало			мало			adv:compb 
:				-				- 
girl_smile		- 				- 
:				- 				- 
)				-				- 
.				- 				SENT_END 
				- 				SENT_START 
Я				я 				pron:pers:s:1:v_naz:anim 
не				не 				part 
хотіла			хотіти			verb:unknown                       {verb:past:s:1:imperf}
,				- 				- 
щоб				щоб 			conj:subord 
на				на 				prep:rv_mis 
столах			стіл 			noun:p:v_mis 
була			бути 			verb:past:f:imperf 
фарширована		фарширований 	adjp:pasv:past:f:v_naz 
риба			риба 			noun:f:v_naz:anim 
,				- 				- 
і				і 				part 
шеф-повар		шеф-повар 		noun:m:v_naz:anim 
запропонував	запропонувати	verb:past:m:perf 
рибу-гриль		риба-гриль 		noun:f:v_zna:anim 
,				- 				- 
яка				який 			pron:int:rel:def:f:v_naz
подавалася		подаватися		verb:rev:past:f:imperf 
кожному			кожний 			pron:def:m:v_dav 
окремо			окремо			adv 
-				- 				- 
потім			потім			pron:dem 
всі				весь			pron:dem:p:v_naz
ту				той 			pron:dem:f:v_zna
рибку			рибка			noun:f:v_zna:anim 
згадували		згадувати 		verb:past:p:imperf 
,				- 				- 
як				як				part 
найсмачнішу		смачний 		adj:f:v_zna:super 
страву			страва 			noun:f:v_zna 
.				- 				SENT_END 
				- 				SENT_START 
З				з 				prep:rv_rod 
одного			один			numr:m:v_rod 
боку			бік 			noun:m:v_rod 
,				-				- 
можна			можна			predic 
сказати			сказати			verb:inf:perf 
,				-				- 
що				що				conj:subord 
там				там 			adv 
працюють		працювати		verb:pres:p:3:imperf 
індивідуально	індивідуально 	adv 
з				з 				prep:rv_oru 
кожним			кожний 			pron:def :p:v_oru
клієнтом		клієнт 			noun:m:v_oru:anim 
,				- 				- 
а				а 				conj:coord 
з				з 				prep:rv_rod
іншого			інший			pron:def:m:v_rod 
,				- 				- 
я				я				pron:pers:s:1:v_naz:anim 
помітила		помітити 		verb:past:f:perf 
,				- 				- 
що				що 				conj:subord 
все				все 			adv:v-u 
одно			один 			adv 
вже				вже 			adv:v-u 
давно			давно			adv 
складене		складений		adjp:pasv:past:n:v_naz 
меню			меню 			noun:n:v_naz:nv 
під				під 			prep:rv_zna 
весілля			весілля 		noun:n:v_zna 
,				- 				- 
від				від 			prep:rv_rod 
якого			який 			pron:int:rel:def:m:v_rod
вони			вони 			pron:pers:p:3:v_naz:anim 
не				не 				part 
дуже			дуже			adv  
охоче			охочий 			adj:n:v_naz 
відходять		відходити		verb:pres:p:3:imperf 
і				і 				conj:coord 
змінювати		змінювати		verb:inf:imperf 
не				не 				part 
