Token	                         Lemma	                Part-of-speech	                      		 Chunk
                                   -                    SENT_START
Анна	                         Анна                   noun:f:v_naz:anim:fname
коментує	                     коментувати            verb:pres:s:3:imperf 
:	                                -                   - 
27.05.2015	                    27.05.2015              date 
о	                                о                   prep:rv_mis                    		
12:07	                        12:07                   time 
Хочу	                        хотіти                  verb:pres:s:1:imperf 
теж	                              теж                   part 
залишити	                     залишити               verb:inf:perf                   
свій	                           свій                 adj:m:v_zna:&pron:pos 
відгук	                         відгук                 noun:m:v_zna 
про									про 				prep:rv_zna 
кафе								кафе 				noun:n:v_zna:nv 
«									- 				    - 
Вероніка	                    Вероніка                noun:f:v_naz:anim:fname
»									- 					- 
.	                                -                   SENT_END 
									- 					SENT_START 
Ми									ми 					noun:p:v_naz:anim:&pron:pers:1 
прийшли							прийти 					verb:past:p:perf 
до									до 					prep:rv_rod 
цього	                           цей                  adj:m:v_rod:&pron:dem 
закладу						     заклад           		noun:m:v_rod 
вперше	                         вперше                 adv:v-u 
і	                               і                    conj:coord 
моя									мій                 adj:f:v_naz:&pron:pos 
дочка	                         дочка                  noun:f:v_naz:anim 
(	                                -                     - 
7	                                  7                 number 
років	                          рік                   noun:p:v_rod 
)	                                -                     - 
не	                               не                   part 
могла	                        могти                   verb:unknown                            (verb:past:s:3:imperf)
обрати	                       обрати                   verb:inf:perf 
торт	                         торт                   noun:m:v_zna 
,									- 						- 
який							який 					adj:m:v_naz:&pron:rel 
їй								вона 					noun:f:v_dav:&pron:pers:3 
хотілось						хотітися 				verb:rev:past:n:imperf 
спробувати						спробувати 				verb:inf:perf 
,								- 						- 
коли							коли 			        conj:subord 
ми								ми 						noun:p:v_naz:anim:&pron:pers:1 
попросили					   попросити 			    verb:past:p:perf 
поради						  порада 					noun:f:v_rod 
у								у 					    prep:rv_rod:v-u 
персоналу				    	персонал 				noun:m:v_rod 
закладу							заклад 					noun:m:v_rod 
,								- 							- 
то									то 					conj:subord 
реакція							реакція 				noun:f:v_naz 
була							бути 					verb:past:f:imperf 
така							такий 					adj:f:v_naz
що									що					conj:subord 
нам									ми 					noun:p:v_dav:anim:&pron:pers:1 
захотілось					захотітися 					verb:rev:past:perf 
зразу							зразу 					adv 
піти							піти                    verb:inf:perf 
,									- 						- 
відношення						відношення 				noun:n:v_naz 
до									до 					prep:rv_rod 
людей								люди 				noun:p:v_rod:anim 
дуже								дуже 				adv 
зверхнє							зверхній 				adj:n:v_naz 
,									- 						- 
було								бути 				verb:past:n:imperf 
враження							враження 			noun:n:v_naz 
,										- 					- 
що										що 				conj:subord 
ми										ми 				noun:p:v_naz:anim:&pron:pers:1 
заважаємо							заважати 			verb:pres:p:1:imperf 
працювати						працювати 				verb:inf:imperf 
,									- 						- 
в								    в 				    prep:rv_mis:v-u 
результаті						результат 				noun:m:v_mis 
ми									ми 					noun:p:v_naz:anim:&pron:pers:1 
вибрали							вибрати 				verb:past:p:perf 
торт								торт 				noun:m:v_zna 
,										- 					- 
який								який 				adj:m:v_naz:&pron:int:rel:def 	
дитина								дитина 				noun:f:v_naz:anim 
не										не 				part 
захотіла						захотіти 				verb:past:f:perf 
їсти								їсти 				verb:inf:imperf 
(										- 					- 
він										він 			noun:m:v_naz:&pron:pers:3 
був									бути 				verb:past:m:imperf 
ледь							ледь 					adv 
гіркуватий						гіркуватий 				adj:m:v_naz 
від									від 				prep:rv_rod 
волоських						волоський 				adj:p:v_rod 
горіхів							горіх 					noun:p:v_rod 
і									і 					conj:coord 
здається						здаватися 				verb:rev:pres:s:3:imperf 
там									там 				adv:&pron:dem 
був									бути 				verb:past:m:imperf 
алкоголь						алкоголь 				noun:m:v_naz 
)										- 					- 
мабуть								мабуть 				insert 
така							 такий                  adj:f:v_naz:&pron:def 
рецептура						рецептура 				noun:f:v_naz 
і									і 					conj:coord 
в									в 			     	prep:rv_rod:v-u 
мене								я                   noun:s:v_rod:anim:&pron:pers:1 
нема								нема 				predic 
претензій						претензія 			    noun:p:v_rod
до									до 					prep:rv_rod 
самого							самий 					adj:n:v_rod 
торта								торт 				noun:m:v_rod 
,									- 						- 
а									а 					conj:coord 
 претензії						претензія				noun:p:v_naz 
до									до					prep:rv_rod 
обслуговування				обслуговування 				noun:n:v_rod 
,									- 						- 
якби								якби 				conj:subord 
нам									ми 					pron:p:rv_dav:pers:1 
пояснили						пояснити 				verb:past:p:perf 
що									що 					noun:n:v_zna:inanim:&pron:int:rel
і									і					conj:coord 											(conj)
до									до 					prep:rv_rod 
чого								що 					noun:n:v_rod:inanim:&pron:int:rel
і									і 					conj:coord 
порекомендували				порекомендувати				verb:past:p:perf 
торт								торт 				noun:m:v_zna 
який								який 				adj:m:v_naz:&pron:int:rel:def 	
би									би 					part 
більше							багато 					adv:compr 
підійшов						підійти 				verb:past:m:perf 
дитині							дитина 					noun:f:v_dav:anim 
,									- 						- 
більше								багато 				adv:compr 
ми									ми 					noun:p:v_naz:anim:&pron:pers:1 
в									в 					prep:rv_zna:v-u 
Вероніку						Вероніка				noun:f:v_zna:anim:fname 	
заходити						заходити 				verb:inf:imperf 
не									не 					part 
збираємось						збиратися 				verb:rev:pres:p:1:imperf 
!									- 					SENT_END 
									- 					PARA_END 
									- 					SENT_START 
Іванна								Іванна 				noun:f:v_naz:anim:fname 
08-08-2015							- 						- 												(date)
00:33								00:33 				time 
Приїхавши						приїхати 				advp:perf 
до									до 					prep:rv_rod 
міста								місто 				noun:n:v_rod 
Лева								Лев 				noun:m:v_rod:anim:fname
,									- 						- 
дуже								дуже 				adv 
хотіли							хотіти 					verb:past:p:imperf 
відвідати						відвідати 				verb:inf:perf 
заклад							заклад 					noun:m:v_zna 
"									- 						- 
Дім									дім 				noun:m:v_naz 
Легенд								легенда 			noun:p:v_rod 
"										- 					- 
!									- 					SENT_END 		
									- 					SENT_START 
Але									але 				conj:coord                              (conj)
нам	                               ми 					noun:p:v_dav:anim:&pron:pers:1
пощастило						пощастити 				verb:past:n:perf 
винайняти							винайняти           verb:inf:perf 
квартиру						квартира 				noun:f:v_zna 
навпроти						навпроти 				prep:rv_rod 
цього								цей 				adj:n:v_rod:&pron:dem 
будинку								будинок 			noun:m:v_rod 
!										- 				SENT_END 			
										- 				SENT_START 
Я										я 				noun:s:v_naz:anim:&pron:pers:1		
була								бути 				verb:past:f:imperf 
шокована						шокований 				adjp:pasv:past:f:v_naz 					(adj:f:v_naz)
,									- 						- 
кухню								кухня 				noun:f:v_zna 
,									- 						- 
яка									який 				adj:f:v_naz:&pron:def 
знаходиться						знаходитися             verb:rev:pres:s:3:imperf 
на	                                на                  prep:rv_mis 
другому	                           другий               adj:m:v_mis 
поверсі	                           поверх               noun:m:v_mis 
нам									ми					noun:p:v_dav:anim:&pron:pers:1
було								бути 				verb:past:n:imperf 
добре								добре 				adv 
видно								видно 				predic 
,									- 						- 
ми									ми 					noun:p:v_naz:anim:&pron:pers:1
теж									теж 				part 
були								бути 				verb:past:p:imperf 
на									на 					prep:rv_mis 
другому								другий 				adj:m:v_mis 
поверсі								поверх 				noun:m:v_mis 
(									- 							- 
але										але 			conj:coord 								
навпроти						навпроти 				adv 
)										- 					- 
всі									весь 			    adj:p:v_zna:&pron:dem 
страви								страва 				noun:p:v_zna 
виставляють							виставляти 			verb:pres:p:3:imperf 
на									на 					prep:rv_zna 
вікна								вікно               noun:p:v_zna 
(									- 						- 
це									цей 				adj:n:v_naz:&pron:dem 		
в									в 					prep:rv_zna:v-u 
спеку								спека 				noun:f:v_zna 
)									- 						- 
навіть								навіть 				part 
не										не 				part 
накривають						накривати 				verb:pres:p:3:imperf 
кришками							кришка 				noun:p:v_oru 
!										- 					- 
!										- 					- 				
!										- 					- 
!										- 				SENT_END 	
										- 				SENT_START 
Це									цей 				adj:n:v_naz:&pron:dem
все									весь 				adj:n:v_naz:&pron:dem
стоїть							стояти 					verb:pres:s:3:imperf 
і										і 				conj:coord 
кисне								киснути 			verb:pres:s:3:imperf 
на										на 				prep:rv_mis 
спеці	 							спека 				noun:f:v_mis 
!										- 					- 
!										- 					- 
!										- 				SENT_END 
										- 				SENT_START 
Кухарі									кухар 			noun:p:v_naz:anim 
,									- 							- 
пробуючи						пробувати 				advp:imperf 
страву								страва 				noun:f:v_zna 
пальцем								палець 				noun:m:v_oru 
,									- 							- 
облизують						облизувати 				verb:pres:p:3:imperf 
його								він 				noun:m:v_zna:&pron:pers:3
і										і 				conj:coord 
знову								знову 				adv 	
