words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
еволюційний,A,1,0,1,10
безперервний,+,0,0,4,10
поступовий,-,2,0,0,9
еґоїзм,U,0,0,0,-1
себелюбство,U,0,0,0,-1
себелюбність,U,0,0,0,-1
самолюбство,U,0,0,0,-1
самохвальба,U,0,0,0,-1
марнослав'я,U,0,0,0,-1
честолюбство,U,0,0,0,-1
еґоїст,U,0,0,0,-1
себелюбець,U,0,0,0,-1
себелюб,U,0,0,0,-1
самолюбець,U,0,0,0,-1
самолюб,U,0,0,0,-1
еґоїстичний,U,0,0,0,-1
себелюбний,U,0,0,0,-1
самолюбний,U,0,0,0,-1
екватор,U,0,0,0,-1
рівноденник,U,0,0,0,-1
рівник,U,0,0,0,-1
еквівалентний,-,1,0,0,11
рівнозначний,-,2,0,0,12
рівновартий,-,1,0,0,12
рівноцінний,-,1,0,0,12
цілком_такий,-,1,0,0,12
достоту_такий,-,1,0,0,12
однаковий,-,1,0,0,10
тотожний,-,3,0,0,11
синонімічний,-,1,0,0,12
екзема,U,0,0,0,-1
мокрий_лишай,U,0,0,0,-1
екіпаж,+,0,0,1,9
коляска,+,0,0,1,10
візок,+,0,0,1,10
чортопхайка,+,0,0,1,10
фаетон,+,0,0,1,10
повозка,+,0,0,1,10
бричка,+,0,0,1,10
кабріолет,+,0,0,1,10
шарабан,+,0,0,1,10
біда,+,0,0,3,10
бідарка,+,0,0,1,10
дрожки,+,0,0,1,10
команда,+,0,0,1,8
економіка,U,0,0,0,-1
господарство,U,0,0,0,-1
екскурсовод,U,0,0,0,-1
гід,U,0,0,0,-1
провідник,U,0,0,0,-1
чичероне,U,0,0,0,-1
експансивний,+,0,0,1,8
нестримний,+,0,0,2,9
рвучкий,+,0,0,2,9
поривчастий,+,0,0,2,8
бурхливий,+,0,0,1,7
гарячковий,+,0,0,2,8
гарячкуватий,+,0,0,1,9
запальний,A,2,0,2,8
експедиція,+,0,0,1,5
відрядження,+,0,0,1,6
місія,+,0,0,1,6
рейд,+,0,0,1,6
операція,+,0,0,1,6
акція,+,0,0,1,6
похід,+,0,0,2,6
партія,+,0,0,1,6
загін,+,0,0,1,4
експерт,-,1,0,0,7
знавець,-,1,0,0,8
авторитет,-,1,0,0,6
фахівець,-,1,0,0,8
професіонал,-,1,0,0,8
ерудит,-,2,0,0,8
експертиза,-,1,0,0,11
розгляд,-,2,0,1,11
обстеження,-,1,0,0,12
огляд,-,2,0,0,12
аналіз,-,1,0,0,10
експлуататор,+,0,0,1,9
визискувач,+,0,0,1,10
хижак,+,0,0,1,10
глитай,+,0,0,1,10
кровопивець,+,0,0,1,10
кровопивця,+,0,0,1,10
кровожер,+,0,0,1,10
паразит,+,0,0,1,8
п'явка,+,0,0,1,10
живодер,+,0,0,1,10
шкуродер,+,0,0,1,10
шкуролуп,+,0,0,1,10
живоїд,+,0,0,1,10
живолуп,+,0,0,1,10
експлуатація,U,0,0,0,-1
визиск,U,0,0,0,-1
визискування,U,0,0,0,-1
гноблення,U,0,0,0,-1
гнічення,U,0,0,0,-1
шкуродерство,U,0,0,0,-1
драпіжництво,U,0,0,0,-1
грабунок,U,0,0,0,-1
розробка,U,0,0,0,-1
користування,U,0,0,0,-1
добування,U,0,0,0,-1
експлуатувати,0,0,1,0,5
визискувати,0,0,1,0,6
гнобити,0,0,1,0,4
експресія,U,0,0,0,-1
виразність,U,0,0,0,-1
екстаз,+,0,0,3,6
захват,+,0,0,2,5
збудження,+,0,0,4,7
піднесення,+,0,0,1,5
екстраваґантний,+,0,0,1,10
своєрідний,+,0,0,4,10
ориґінальний,A,1,0,1,9
чудернацький,U,0,0,0,9
незвичайний,+,1,0,2,9
химерний,U,0,0,0,9
ексцентричний,+,0,0,1,11
екстраординарний,+,0,0,2,9
винятковий,+,0,0,2,8
феноменальний,+,0,0,1,10
особливий,+,0,0,2,9
спеціальний,+,0,0,1,10
екстрений,U,0,0,0,-1
невідкладний,U,0,0,0,-1
терміновий,U,0,0,0,-1
еластичний,-,2,0,0,8
пружний,-,1,0,0,9
гнучкий,-,1,0,0,9
елемент,-,2,0,0,5
складник,-,1,0,0,6
складниця,-,1,0,0,6
компонент,-,2,0,0,6
деталь,-,4,0,0,5
риса,-,1,0,0,4
аспект,-,2,0,0,6
інґредієнт,-,1,0,0,6
еліта,U,0,0,0,-1
сіль,U,0,0,0,-1
провідники,U,0,0,0,-1
обранці,U,0,0,0,-1
найкращі,U,0,0,0,-1
верховоди,U,0,0,0,-1
батьки,U,0,0,0,-1
вищий_світ,U,0,0,0,-1
естеблішмент,U,0,0,0,-1
елодея,U,0,0,0,-1
водяна_чума,U,0,0,0,-1
емансипація,U,0,0,0,-1
унезалежнення,U,0,0,0,-1
розкріпачення,U,0,0,0,-1
емоційний,-,2,0,0,7
чуттєвий,-,2,0,0,8
почуттєвий,-,1,0,0,8
сердечний,-,2,0,0,6
душевний,-,3,0,0,7
афективний,-,1,0,0,8
збудливий,-,1,0,0,8
нестриманий,A,1,0,1,8
пристрасний,+,2,0,3,8
енергійний,-,4,0,0,9
діяльний,-,2,0,1,8
активний,-,2,0,0,9
рухливий,-,6,0,0,9
непосидющий,-,2,0,0,10
невтомний,-,3,0,0,9
моторний,-,3,0,0,8
жвавий,-,3,0,0,9
бадьорий,-,3,0,0,9
ініціативний,-,2,0,0,9
енергія,+,0,0,2,4
снага,+,0,0,1,3
потенція,+,0,0,1,5
потуга,+,0,0,1,5
потужність,+,0,0,1,3
наполегливість,+,0,0,1,5
рішучість,+,0,0,1,5
пристрасть,+,0,0,3,5
натхнення,+,0,0,1,5
