Token 				Lemma 					Part-of-speech 						Chunk
					-						SENT_START 							
Нещодавно			нещодавно 				adv
 
відвідали			відвідати 				verb:past:p:perf 

з					з 						prep:rv_oru 

чоловіком			чоловік 				noun:m:v_oru:anim 

Львів				Львів 					noun:m:v_zna											 
,					- 						- 
місто				місто 					noun:n:v_naz 
											
від					від 					prep:rv_rod 

якого				який 					adj:n:v_rod:&pron:int:rel:def 
											
перехоплює			перехоплювати 			verb:pres:s:3:imperf 

подих				подих 					noun:m:v_zna
											
.					- 						SENT_END 
					- 						SENT_START 
Чоловік				чоловік 				noun:m:v_naz:anim 

дуже				дуже 					adv
											
любить				любити 					verb:pres:s:3:imperf 
каву				кава 					noun:f:v_zna 
,					- 						- 

а					а 						conj:coord 
 										
я					я 						noun:s:v_naz:anim:&pron:pers:1

нестримна			нестримний 				adj:f:v_naz 

в					в 						prep:rv_mis:v-u 

солодощах			солодощі 				noun:p:v_mis 

і					і 						conj:coord 

випічці				випічка 				(noun:f:v_mis)
											
.					- 						SENT_END 		
					- 						ENT_START 
Їдучи				їдучи 					advp:imperf 
до					до 						prep:rv_rod 

Львова		 		Львів  					noun:m:v_zna:anim:lname 
											
я					я 						noun:s:v_naz:anim:&pron:pers:1

дуже				дуже 					adv 
											
хотіла				хотіти 					verb:past:f:imperf 

відвідати			відвідати 				verb:inf:perf 

цю					цей 					adj:f:v_zna:&pron:dem 

кав'ярню			кав'ярня 				noun:f:v_zna 

і					і 						conj:coord 
											 
першим				перший 					adj:m:v_oru 
											
закладом			заклад 					noun:m:v_oru 

який				який 					adj:m:v_zna:&pron:int:rel:def 
																					
ми					ми 						noun:p:v_naz:anim:&pron:pers:1
відвідали			відвідати 				verb:past:p:perf 

став				став 					verb:past:m:perf 

"					- 						- 

Світ				світ 					noun:m:v_naz 
											
кави				кава 					noun:f:v_rod 

"					- 						- 
.					- 						SENT_END 
					-     					SENT_START 
					
Ми					ми 						noun:p:v_naz:anim:&pron:pers:1

замовили			замовити 				verb:past:p:perf 

2					2 						number 

кави				кава 					noun:f:v_rod 
:					- 						- 
капучіно			- 						(noun:s:n:3:nv:np) 
-					-						- 
для					для 					prep:rv_rod 

мене				я 						noun:s:v_rod:anim:&pron:pers:1
											
і					і 						conj:coord 
											
мокко				мокко 					(noun:n:v_zna:nv:np) 
											
(					- 						- 
за					за 						prep:rv_oru
 
порадою				порада 					noun:f:v_oru 

офіціантки			офіціантка 				noun:f:v_rod:anim 
)					- 						- 
-					- 						- 
для					для 					prep:rv_rod 

чоловіка			чоловік 				noun:m:v_rod:anim 
,					- 						- 
ну					ну 						part 
						
і					і 						conj:coord  
											
звичайно			звичайно 				adv:compb 

я					я 						noun:s:v_naz:anim:&pron:pers:1

не					не 						part 

втрималась			втриматися 				verb:rev:past:f:perf:v-u 
