words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
?гарцювати,U,0,0,0,-1
басувати,U,0,0,0,-1
гарцювати,+,0,0,1,8
грати,+,0,0,3,7
вигравати,+,0,0,4,9
вибасовувати,+,0,0,1,9
гопцювати,+,0,0,1,9
гарячий,-,4,0,0,3
жаркий,-,2,0,0,3
пекучий,-,2,0,0,2
палючий,-,3,0,0,4
палкий,-,4,0,0,4
палахкий,-,1,0,0,4
палахкотливий,-,1,0,0,4
шпаркий,-,1,0,0,2
розпечений,-,1,0,0,4
розжарений,-,1,0,0,4
жагучий,-,3,0,0,4
палений,-,1,0,0,4
вогненний,-,1,0,0,4
вогняний,-,1,0,0,4
вогнистий,-,1,0,0,4
енергійний,-,2,0,0,4
пристрасний,-,3,0,0,4
поривний,-,2,0,0,4
поривчастий,-,5,0,0,4
запальний,-,2,0,0,3
завзятий,-,3,0,1,4
нестриймний,-,1,0,0,4
імпульсивний,-,3,0,0,4
експансивний,-,4,0,0,4
емоційний,A,2,0,2,3
гарячковий,-,2,0,0,4
гарячкуватий,-,3,0,0,4
загонистий,-,3,0,0,4
опришкуватий,-,2,0,0,4
напружений,-,2,0,0,3
інтенсивний,-,2,0,0,4
бурхливий,-,3,0,0,3
кипучий,-,3,0,0,4
натужний,-,2,0,0,4
гарячкувати,+,0,0,3,8
збуджуватися,+,0,0,1,8
нетерпелитися,+,0,0,1,9
хапатися,+,0,0,2,8
нервувати,+,0,0,3,9
поспішати,+,0,0,2,7
квапитися,+,0,0,2,7
гараздувати,+,0,0,1,9
гасити,+,0,0,1,7
загашувати,+,0,0,1,8
загашати,+,0,0,1,8
загасити,+,0,0,1,8
згашати,+,0,0,1,8
згасити,+,0,0,1,8
погашати,+,0,0,1,8
погасити,+,0,0,1,8
пригашувати,+,0,0,1,8
пригашати,+,0,0,1,8
пригасити,+,0,0,1,8
угашати,+,0,0,1,8
вгашати,+,0,0,1,8
угасити,+,0,0,1,8
вгасити,+,0,0,1,8
заливати,+,0,0,3,7
залити,+,0,0,2,8
задувати,+,0,0,2,7
задути,+,0,0,2,7
задимати,+,0,0,2,7
стримувати,+,0,0,3,6
гаснути,+,0,0,3,8
згасати,+,0,0,1,9
ізгасити,+,0,0,1,9
згаснути,+,0,0,1,9
гуснути,+,0,0,4,10
ізгаснути,+,0,0,1,11
загасати,+,0,0,1,9
загаснути,+,0,0,1,9
погасати,+,0,0,1,8
погаснути,+,0,0,1,8
угасати,+,0,0,2,9
вгасати,+,0,0,1,9
угаснути,+,0,0,2,9
вгуснути,+,0,0,1,9
догасати,+,0,0,1,9
догаснути,+,0,0,1,9
гаситися,+,0,0,1,9
загашуватися,+,0,0,1,9
загаситися,+,0,0,1,9
тухнути,+,0,0,1,9
потухати,+,0,0,1,9
потухнути,+,0,0,1,9
стухати,+,0,0,2,8
стухнути,+,0,0,1,9
затухати,+,0,0,1,9
затухнути,+,0,0,1,9
сухати,+,0,0,1,9
утухати,+,0,0,1,9
втухати,+,0,0,1,9
утухнути,+,0,0,1,9
втухнути,+,0,0,1,9
пригасати,+,0,0,1,9
пригаснути,+,0,0,1,9
притухати,+,0,0,1,9
притухнути,+,0,0,1,9
догоряти,+,0,0,1,9
догорати,+,0,0,1,9
догоріти,+,0,0,1,9
згоряти,+,0,0,2,9
згорати,+,0,0,2,9
згоріти,+,0,0,1,9
меркнути,+,0,0,1,9
меркти,+,0,0,1,9
примеркати,+,0,0,1,9
примеркнути,+,0,0,1,9
затихати,+,0,0,1,7
слабнути,+,0,0,1,9
тьмяніти,+,0,0,1,9
холонути,+,0,0,2,9
гастрит,U,0,0,0,-1
катар_шлунка,U,0,0,0,-1
гатити,+,0,0,4,8
загачувати,+,0,0,3,8
загатити,+,0,0,3,8
перегачувати,+,0,0,1,9
перегати,+,0,0,1,9
пригачувати,+,0,0,1,9
пригатити,+,0,0,1,9
бити,+,0,0,6,7
витрачати,+,0,0,2,7
стріляти,+,0,0,3,9
гатка,+,0,0,1,10
гребля,+,0,0,2,10
гата,+,0,0,1,11
загата,+,0,0,2,9
тама,+,0,0,1,11
гаятися,+,0,0,2,8
затримуватися,+,0,0,1,7
затриматися,+,0,0,1,7
баритися,+,0,0,1,9
загаюватися,+,0,0,1,9
загаятися,+,0,0,1,9
припізнюватися,+,0,0,1,9
припізнити,+,0,0,1,9
наминатися,+,0,0,1,9
загрузати,+,0,0,2,9
загрухнути,+,0,0,1,9
гелікоптер,U,0,0,0,-1
гвинтокрил,U,0,0,0,-1
вертоліт,U,0,0,0,-1
автожир,U,0,0,0,-1
гематит,U,0,0,0,-1
кривавик,U,0,0,0,-1
кривавник,U,0,0,0,-1
червоний_залізняк,U,0,0,0,-1
залізний_блиск,U,0,0,0,-1
залізна_слюда,U,0,0,0,-1
гембель,U,0,0,0,-1
рубанок,U,0,0,0,-1
шерхебель,U,0,0,0,-1
гендлювати,U,0,0,0,-1
баришувати,U,0,0,0,-1
спекулювати,U,0,0,0,-1
генеалогія,+,0,0,1,7
походження,+,0,0,2,6
родовід,+,0,0,2,7
герань,U,0,0,0,-1
геранія,U,0,0,0,-1
журавельник,U,0,0,0,-1
журавець,U,0,0,0,-1
гербарій,U,0,0,0,-1
травник,U,0,0,0,-1
зільник,U,0,0,0,-1
геройство,-,5,0,0,9
хоробрість,-,2,0,0,8
мужність,-,2,0,0,8
молодецтво,-,2,0,0,8
відвага,-,2,0,0,8
відважність,-,2,0,0,8
самовідданість,-,1,0,0,10
бестрашність,-,1,0,0,10
герць,-,1,0,0,7
поєдинок,-,2,0,0,7
суперечка,-,1,0,0,6
двобій,-,4,0,0,8
єдиноборство,-,2,0,0,8
геть,+,0,0,1,5
гетьте,+,0,0,1,6
гайда,+,0,0,1,6
цілком,+,0,0,1,6
далеко,+,0,0,1,4
геть-то,+,0,0,1,5
забагато,+,0,0,1,6
досить,+,0,0,2,4
геть-чисто,+,0,0,1,7
yщент,+,0,0,1,8
вщент,+,0,0,1,8
зовсім,+,0,0,1,8
гидкий,-,1,0,0,2
бридкий,-,4,0,0,2
огидний,-,3,0,0,3
