Token				Lemma 			Part-of-speech				Chunk
				  - 			SENT_START 
Доброго				добрий  		adj:m:v_rod:compb 
                					
дня			        день   		        noun:m:v_rod 
!	   			  -     	        SENT_END 
				  - 			SENT_START  
Були				бути    		verb:past:p:imperf 
у	   			у      	        	prep:rv_zna:rv_mis:rv_rod:v-u 
Вас  				ви      		noun:p:v_rod:anim:&pron:pers:2
               					        
в	   			в       		prep:rv_zna:rv_mis:rv_rod:v-u 
суботу				субота  		noun:f:v_zna 
,	  			  -      		 - 
дуже				дуже   		        adv 
       			           		
гарно				гарно   		adv:compb 
,	    			 -     			 - 
Смачно				смачно  		adv:compb 
дуже				дуже    		adv 
        			   		
,	    			 -     			 -
гарно				гарно  		        adv:compb 
!	    			 -         	        SENT_END
				 - 			SENT_START 
Добрий				добрий 		        adj:m:v_naz:compb 
        					
день				день   		        noun:m:v_naz 
               				                
,	   			  -    			  - 
вчора				вчора   		adv:v-u 
святкували			святкувати 		verb:past:p:imperf 
вас	    			ви      		noun:p:v_rod:anim:&pron:pers:2
                					
випускний			випускний 		adj:m:v_zna 
,	     			-     		          - 
все	  		        все    		        adj:n:v_naz:&pron:dem 
                					
було				бути    		verb:past:n:imperf 
круто				круто   		adv 
,	    			 -       		 - 
кухня				кухня   		noun:f:v_naz 
просто				просто  		part 

бомбезна 			 -   			  - 
,	     			 -     			  - 
офіціанти 		        офіціант  		noun:p:v_naz:anim 
веселі				веселий  		adj:p:v_naz:compb 
                 					
!	  			  -        		  - 
!	   			  -      		  - 
!   				  -      		  - 
!	    			  -       		SENT_END  
Отримали  			отримати 		verb:past:p:perf 
дуже				дуже     		adv 
        			
багато				багато        		adv 
                      					
позитиву  			позитив    	        noun:m:v_rod 
                      					
,	    			 -          		  - 
дякуєм				дякувати     	        verb:pres:p:1:imperf 
вам	    			ви           	        noun:p:v_dav:anim:&pron:pers:2
за	   		        за           	        prep:rv_rod:rv_zna:rv_oru 
хороший				хороший       		adj:m:v_zna:compb 
 
настрій				настрій      	        noun:m:v_zna
                     				      
!	  		         -           	        SENT_END  
				 - 			SENT_START 
Дякуємо				дякувати 		verb:pres:p:1:imperf 
за				за 			prep:rv_rod:rv_zna:rv_oru
гарне				гарний 		 	adj:n:v_zna:compb
							
свято				свято                   noun:n:v_zna 
							
!				 - 			  - 
!				 - 			  - 
!				 - 			SENT_END 
				 - 			SENT_START 
Прийшли				прийти 			verb:past:p:perf 
родинним			родинний 		adj:n:v_oru  
							
							
колом				коло 			noun:n:v_oru 
							
з				з 			prep:rv_rod:rv_zna:rv_oru 
дітьми				діти 			noun:p:v_oru:anim 
,				 - 			  - 
хотіли				хотіти 			verb:past:p:imperf 
просто				просто 			part 
							
							
по				по 			prep:rv_mis:rv_zna 
сімейному			сімейний 		adj:n:v_dav
							
посидіти			посидіти 		verb:inf:perf 
,				 - 			 - 
а				а 			conj:coord 
							
переросло			перерости 		verb:past:n:perf 
все				все     		adj:n:v_naz:&pron:dem 
							 
							
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
гучну				гучний 			adj:f:v_zna:compb 
забаву				забава 			noun:f:v_zna 
!				 - 			SENT_END 
				 - 			SENT_START 
Бомбезна			 - 			 - 
атмосфера			атмосфера 		noun:f:v_naz 
,				 - 			 - 
діти				діти 			noun:p:v_naz:anim 
							
							 
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
захваті				захват 			noun:m:v_mis 
,				 - 			 - 
просто				просто 			part 
							
							 
клас				клас 			noun:m:v_naz 
							
!				 - 			 - 
!				 - 			 - 
!				 - 			SENT_END 
							PARA_END 
				 - 			SENT_START 
Потрапила			потрапити 		verb:past:f:perf 
перший				перший 			adj:m:v_naz 
							 
раз				раз 			noun:m:v_naz
							 
							
до				до 			prep:rv_rod 
вас				ви 			noun:p:v_rod:anim:&pron:pers:2 
							
							
