words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
доброволець,-,1,0,0,5
волонтер,-,1,0,0,6
охочий,-,1,0,0,4
добродійник,-,1,0,0,10
філантроп,-,1,0,0,11
доброчинець,-,1,0,0,11
добродій,-,1,0,0,9
доброзичливий,U,0,0,0,3
зичливий,U,0,0,0,4
прихильний,U,0,0,0,4
приязний,+,0,0,2,4
добрий,A,1,0,1,2
доброзичний,U,0,0,0,4
поблажливий,0,0,1,0,4
людяний,0,0,1,0,4
чулий,U,0,0,0,3
добротний,+,1,0,2,3
тривкий,-,2,0,0,2
доброякісний,+,0,0,1,4
високоякісний,+,0,0,1,2
якісний,+,0,0,1,2
доброчинність,U,0,0,0,-1
добродійність,U,0,0,0,-1
філантропія,U,0,0,0,-1
добродіяння,U,0,0,0,-1
добувати,+,0,0,6,7
добути,+,0,0,5,7
видобувати,+,0,0,4,7
видобути,+,0,0,4,7
виймати,+,0,0,10,6
вийняти,+,0,0,10,7
дістати,+,0,0,3,6
здобувати,+,0,0,2,6
знайти,+,0,0,3,7
одержати,+,0,0,3,6
довбати,+,0,0,2,7
довбти,+,0,0,1,7
роздовбувати,+,0,0,2,7
роздовбати,+,0,0,2,7
длубати,+,0,0,1,8
продовбувати,+,0,0,1,8
продовбати,+,0,0,1,8
продовбти,+,0,0,1,8
видовбувати,+,0,0,1,8
видовбати,+,0,0,1,8
довбатися,+,0,0,3,8
довбтися,+,0,0,2,9
длубатися,+,0,0,3,8
копирсатися,+,0,0,1,7
колупатися,+,0,0,1,9
возитися,+,0,0,4,8
вовтузитися,+,0,0,2,7
копатися,+,0,0,3,8
довгастий,-,1,0,0,5
видовжений,-,1,0,0,6
витягнений,-,1,0,0,6
витягнутий,-,1,0,0,6
подовжений,-,1,0,0,6
довгуватий,-,1,0,0,4
лінійний,-,1,0,0,6
овальний,-,1,0,0,6
заокруглений,-,1,0,0,6
довгий,-,2,0,0,3
довжелезний,-,2,0,0,3
довженний,-,2,0,0,3
довжезний,-,2,0,0,3
довгенький,-,1,0,0,4
доземний,-,2,0,0,4
додільний,-,1,0,0,4
тривалий,-,1,0,0,4
довгочасний,-,1,0,0,4
довго,+,0,0,3,5
чимало,+,0,0,2,4
чималу_годину,+,0,0,1,6
чималий_час,+,0,0,1,6
усе,+,0,0,1,5
все,+,0,0,1,5
довгенько,+,0,0,1,6
подовгу,+,0,0,1,6
довговічний,U,0,0,0,-1
багаторічний,U,0,0,0,-1
довгорічний,U,0,0,0,-1
довгоносик,U,0,0,0,-1
слоник,U,0,0,0,-1
вовчок_збіжжевий,U,0,0,0,-1
носач,U,0,0,0,-1
свинка,U,0,0,0,-1
довготелесий,-,1,0,0,3
високий,-,2,0,1,2
худий,-,2,0,0,4
незграбний,-,2,0,0,4
довготривалий,-,2,0,0,5
довершений,+,0,0,2,1
досконалий,+,0,0,1,1
довершити,+,0,0,4,8
довершувати,+,0,0,3,8
завершувати,+,0,0,2,8
завершити,+,0,0,2,8
закінчувати,+,0,0,6,7
закінчити,+,0,0,2,8
виконувати,+,0,0,4,7
виконати,+,0,0,4,7
довести,+,0,0,2,6
доводити,+,0,0,3,6
довід,-,1,0,0,8
потвердження,-,1,0,0,9
свідчення,-,1,0,0,7
арґумент,-,1,0,0,9
резон,-,1,0,0,9
доказ,-,1,0,0,9
підстава,A,2,0,2,8
довідатися,+,0,0,4,8
довідуватися,+,0,0,3,8
довідка,U,0,0,0,-1
посвідчення,U,0,0,0,-1
посвідка,U,0,0,0,-1
свідоцтво,U,0,0,0,-1
довідник,+,0,0,1,13
посібник,+,0,0,1,12
проспект,+,0,0,1,14
прейскурант,+,0,0,1,14
дізнаватися,+,0,0,4,7
дізнатися,+,0,0,5,8
вивідувати,+,0,0,2,7
вивідати,+,0,0,2,7
довіра,+,0,0,1,9
довір'я,+,0,0,1,10
віра,+,0,0,1,8
довірений,-,1,0,0,5
наближений,-,1,0,0,4
довірливий,0,0,1,0,5
легковірний,0,0,1,0,6
наївний,0,0,2,0,5
простакуватий,0,0,2,0,5
довіряти,+,0,0,4,8
довірятися,+,0,0,2,9
довіритися,+,0,0,2,9
вірити,+,0,0,1,9
йняти_віру,+,0,0,1,9
йняти_віри,+,0,0,1,9
пойняти_віру,+,0,0,1,9
пойняти_віри,+,0,0,1,9
покладатися,+,0,0,1,9
покластися,+,0,0,1,9
звірятися,+,0,0,2,9
звіритися,+,0,0,2,9
надіятися,+,0,0,1,7
увіряти,+,0,0,1,9
ввіряти,+,0,0,1,9
увірити,+,0,0,1,9
ввірити,+,0,0,1,9
увірятися,+,0,0,1,9
ввіритися,+,0,0,1,9
спускатися,+,0,0,3,7
спуститися,+,0,0,3,7
доручати,+,0,0,2,7
звіряти,+,0,0,7,8
довічний,-,4,0,0,5
вічний,-,2,0,0,4
споконвічний,-,2,0,0,4
одвічний,-,1,0,0,5
обґрунтовувати,+,0,0,1,7
обґрунтувати,+,0,0,1,7
мотивувати,+,0,0,2,7
умотивовувати,+,0,0,1,7
вмотивовувати,+,0,0,1,7
умотивувати,+,0,0,1,7
вмотивувати,+,0,0,1,7
показувати,+,0,0,7,7
показати,+,0,0,6,7
арґументувати,+,0,0,1,7
обставляти,+,0,0,3,6
обставити,+,0,0,3,6
підпирати,+,0,0,3,7
підперти,+,0,0,3,7
документувати,+,0,0,1,7
допроваджувати,+,0,0,2,6
допровадити,+,0,0,2,6
приводити,+,0,0,1,6
привести,+,0,0,1,6
припроваджувати,+,0,0,2,7
припровадити,+,0,0,2,7
призводити,+,0,0,1,7
призвести,+,0,0,1,7
уганяти,+,0,0,4,7
вганяти,+,0,0,3,7
повергати,+,0,0,1,7
повергнути,+,0,0,1,7
доносити,+,0,0,7,6
притирати,+,0,0,1,7
супроводжувати,+,0,0,2,7
доводитися,+,0,0,5,7
довестися,+,0,0,1,8
траплятися,+,0,0,5,7
трапитися,+,0,0,4,7
випадати,+,0,0,5,7
випасти,+,0,0,2,7
припадати,+,0,0,4,7
припасти,+,0,0,2,6
приходитися,+,0,0,3,8
прийтися,+,0,0,3,8
бути,+,0,0,1,6
матися,+,0,0,2,7
довшати,U,0,0,0,-1
видовжуватися,U,0,0,0,-1
видовжитися,U,0,0,0,-1
догана,U,0,0,0,11
нагінка,U,0,0,0,12
осуд,U,0,0,0,10
осуда,U,0,0,0,12
нотація,U,0,0,0,12
прочухан,U,0,0,0,12
прочуханка,U,0,0,0,12
доганяти,+,0,0,2,5
догнати,+,0,0,1,6
наздоганяти,+,0,0,2,6
наздогнати,+,0,0,2,6
здоганяти,+,0,0,1,6
здогнати,+,0,0,1,6
наганяти,+,0,0,1,4
нагнати,+,0,0,1,4
наспівати,+,0,0,1,6
наспіти,+,0,0,1,6
уганятися,+,0,0,1,6
вганятися,+,0,0,1,6
угнатися,+,0,0,1,6
вгнатися,+,0,0,1,6
настигати,+,0,0,1,6
настиг,+,0,0,1,6
настигнути,+,0,0,1,6
настигти,+,0,0,1,6
спобігати,+,0,0,1,6
спобігти,+,0,0,1,6
насідати,+,0,0,2,6
насісти,+,0,0,2,6
наступати,+,0,0,1,6
наступити,+,0,0,1,6
насідати_на_п'яти,+,0,0,1,6
насісти_на_п'яти,+,0,0,1,6
догідливий,+,2,0,3,5
запобігливий,+,0,0,1,5
запопадливий,-,2,0,0,5
запопадний,-,1,0,0,5
послужливий,+,0,0,1,5
увічливий,+,0,0,3,6
улесливий,A,1,0,1,6
догляд,U,0,0,0,-1
опіка,U,0,0,0,-1
опікування,U,0,0,0,-1
піклування,U,0,0,0,-1
нагляд,U,0,0,0,-1
доглядати,+,0,0,3,6
доглянути,+,0,0,1,7
стежити,+,0,0,1,7
слідкувати,+,0,0,1,7
пильнувати,+,0,0,1,7
наглядати,+,0,0,4,6
дивитися,+,0,0,1,5
глядіти,+,0,0,2,6
пантрувати,+,0,0,1,7
назирати,+,0,0,2,6
назирнути,+,0,0,3,7
приглядати,+,0,0,3,7
приглянути,+,0,0,3,7
приглядіти,+,0,0,3,7
пригледіти,+,0,0,3,7
придивлятися,+,0,0,3,7
кукобити,+,0,0,1,7
ходити,+,0,0,4,6
порати,+,0,0,1,7
поратися,+,0,0,2,6
няньчити,+,0,0,1,7
няньчитися,+,0,0,1,7
тішити,+,0,0,2,7
тішитися,+,0,0,1,7
панькати,+,0,0,1,7
панькатися,+,0,0,3,7
догоричерева,U,0,0,0,-1
навзнак,U,0,0,0,-1
горілиць,U,0,0,0,-1
додавати,+,0,0,7,6
додати,+,0,0,2,6
приєднувати,+,0,0,1,7
приєднати,+,0,0,1,7
докладати,+,0,0,2,7
докласти,+,0,0,2,7
прикладати,A,1,0,1,7
прикласти,A,3,0,3,7
прилучати,+,0,0,3,6
прилучити,+,0,0,3,6
долучати,+,0,0,1,7
долучити,+,0,0,1,7
домішувати,+,0,0,1,7
домішати,+,0,0,1,7
примішувати,+,0,0,2,7
примішати,+,0,0,2,7
підбавляти,+,0,0,1,7
підбавити,+,0,0,1,7
набавляти,+,0,0,1,7
набавити,+,0,0,1,7
надбавляти,+,0,0,1,7
надбавити,+,0,0,1,7
піддавати,+,0,0,3,6
піддати,+,0,0,3,6
прикидати,+,0,0,1,7
прикинути,+,0,0,1,7
накидати,+,0,0,1,7
накинути,+,0,0,1,7
приплюсовувати,+,0,0,1,7
приплюсувати,+,0,0,1,7
притуляти,+,0,0,2,6
притулювати,+,0,0,2,7
притулити,+,0,0,2,6
домірювати,+,0,0,1,7
доміряти,+,0,0,1,7
доповнювати,+,0,0,1,7
доповняти,+,0,0,1,7
доповнити,+,0,0,1,7
поповнювати,+,0,0,6,6
поповняти,+,0,0,2,7
поповнити,+,0,0,2,7
уносити,+,0,0,1,5
вносити,+,0,0,1,5
унести,+,0,0,1,5
внести,+,0,0,1,5
привносити,+,0,0,1,7
привнести,+,0,0,1,7
приточувати,+,0,0,1,7
приточити,+,0,0,1,7
доточувати,+,0,0,1,7
доточити,+,0,0,1,7
підкидати,+,0,0,3,7
підкидувати,+,0,0,1,7
підкинути,+,0,0,2,7
докидати,+,0,0,1,7
докинути,+,0,0,1,7
складати,+,0,0,4,5
скласти,+,0,0,2,5
прираховувати,+,0,0,1,7
прирахувати,+,0,0,1,7
збільшувати,+,0,0,3,5
надавати,+,0,0,9,7
додатковий,-,1,0,0,6
набавний,-,1,0,0,7
зайвий,-,1,0,0,7
побічний,-,1,0,0,5
проміжний,-,1,0,0,7
додаток,+,0,0,1,9
доповнення,+,0,0,1,10
довершення,+,0,0,1,8
придаток,+,0,0,1,10
додання,+,0,0,1,10
додача,A,1,0,1,10
придача,+,0,0,1,10
привісок,+,0,0,1,10
гак,+,0,0,2,10
доважок,+,0,0,1,10
додуматися,+,0,0,3,6
додумуватися,+,0,0,2,6
змірковувати,+,0,0,1,7
зміркувати,+,0,0,1,7
домірковуватися,+,0,0,1,7
доміркуватися,+,0,0,1,7
вимірковувати,+,0,0,1,7
виміркувати,+,0,0,1,7
придумати,+,0,0,2,6
додумувати,+,0,0,2,6
додумати,+,0,0,2,6
добирати,+,0,0,2,5
добрати,+,0,0,2,6
доібрати,+,0,0,1,7
прихитрятися,+,0,0,1,7
умудрувати,+,0,0,1,7
вмудрувати,+,0,0,1,7
домудруватися,+,0,0,1,7
домислюватися,+,0,0,1,7
домислитися,+,0,0,1,7
докумекати,+,0,0,1,7
докумекатися,+,0,0,1,7
домізкуватися,+,0,0,1,7
умудритися,+,0,0,1,7
вмудритися,+,0,0,1,7
знаходитися,+,0,0,1,7
знайтися,+,0,0,3,7
зрозуміти,+,0,0,1,6
дозвіл,+,0,0,1,5
згода,+,0,1,2,4
санкція,+,0,0,2,6
благословенство,+,0,0,1,6
ліцензія,+,0,0,2,5
дозволити,+,0,0,1,9
дозволяти,+,0,0,4,8
допускати,+,0,0,1,9
допустити,+,0,0,1,9
давати_право,+,0,0,1,9
дати_право,+,0,0,1,9
підпускати,+,0,0,1,9
підпустити,+,0,0,1,9
припускати,+,0,0,2,7
припустити,+,0,0,2,7
призволяти,+,0,0,1,9
призволити,+,0,0,1,9
благословляти,+,0,0,2,8
благословити,+,0,0,2,8
попускати,+,0,0,3,7
попустити,+,0,0,2,7
санкціонувати,+,0,0,1,9
доказувач,-,1,0,0,9
виказувач,-,1,0,0,10
викажчик,-,1,0,0,10
ябедник,-,1,0,0,10
ябеда,-,1,0,0,10
фіскал,-,1,0,0,10
навушник,-,1,0,0,10
шептун,-,2,0,0,8
нашіптувач,-,1,0,0,10
стукач,-,1,0,0,10
докір,U,0,0,0,11
закид,U,0,0,0,12
дорікання,U,0,0,0,12
докора,U,0,0,0,12
дотинок,U,0,0,0,12
попрікання,U,0,0,0,12
нагана,U,0,0,0,12
картання,U,0,0,0,12
перекори,U,0,0,0,12
докірливий,-,2,0,0,4
ущипливий,-,2,0,0,3
вщипливий,-,2,0,0,4
докладний,-,2,0,0,4
ґрунтовний,-,7,0,0,3
вичерпний,-,1,0,0,3
детальний,-,3,0,0,4
деталізований,-,3,0,0,4
доконечний,-,5,0,0,4
обов'язковий,-,4,0,0,4
неодмінний,-,2,0,0,4
неминучий,-,1,0,0,4
докорити,+,0,0,1,8
докоряти,+,0,0,10,7
докорінний,-,2,0,0,4
корінний,-,1,0,0,5
радикальний,-,2,0,0,4
ґенеральний,-,2,0,0,4
дорікати,+,0,0,1,8
доректи,+,0,0,2,8
дорікнути,+,0,0,1,8
закидати,+,0,0,4,8
закинути,+,0,0,3,8
корити,+,0,0,2,8
картати,+,0,0,2,7
ганити,+,0,0,2,7
виговорювати,+,0,0,1,8
виговорити,+,0,0,1,8
відчитувати,+,0,0,2,7
відчитати,+,0,0,1,7
вичитувати,+,0,0,2,7
вичитати,+,0,0,2,7
нарікати,+,0,0,3,8
пробирати,+,0,0,2,6
попрікати,+,0,0,1,8
попрікнути,+,0,0,1,8
точити,+,0,0,2,7
пиляти,+,0,0,1,8
поїдати,+,0,0,2,8
їсти,+,0,0,4,7
цвікати,+,0,0,1,8
цвіркати,+,0,0,2,8
цвікнути,+,0,0,1,8
цвіркнути,+,0,0,1,8
домовляти,+,0,0,1,6
колоти,+,0,0,2,7
штрикати,+,0,0,3,7
осуджувати,+,0,0,5,8
долина,+,0,0,1,12
діл,+,0,0,1,11
поділля,+,0,0,1,13
паділ,+,0,0,1,13
придолинок,+,0,0,1,13
тіснина,+,0,0,1,13
падина,+,0,0,1,13
долілиць,U,0,0,0,-1
ниць,U,0,0,0,-1
долічерева,U,0,0,0,-1
крижем,U,0,0,0,-1
долішній,U,0,0,0,-1
нижній,U,0,0,0,-1
спідній,U,0,0,0,-1
поприземний,U,0,0,0,-1
долото,U,0,0,0,-1
стамеска,U,0,0,0,-1
видовбувач,U,0,0,0,-1
скарпель,U,0,0,0,-1
доля,A,1,0,1,8
талан,U,0,0,0,9
жереб,U,0,0,0,9
хрест,U,0,0,0,9
зоря,U,0,0,0,9
зірка,U,0,0,0,9
щастя,+,0,0,1,7
судьба,U,0,0,0,9
фортуна,U,0,0,0,9
планета,U,0,0,0,9
планида,U,0,0,0,9
призначення,-,1,0,0,8
приречення,U,0,0,0,9
фатум,U,0,0,0,9
домагатися,+,0,0,4,7
вимагати,+,0,0,2,6
добиватися,+,0,0,3,7
добитися,+,0,0,2,7
доправлятися,+,0,0,2,7
допоминатися,+,0,0,1,8
домашній,U,0,0,0,-1
хатній,U,0,0,0,-1
свійський,U,0,0,0,-1
доморослий,U,0,0,0,-1
родинний,U,0,0,0,-1
саморобний,U,0,0,0,-1
домисел,-,1,0,0,9
здогад,-,1,0,0,10
