words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
абат,U,0,0,0,-1
ігумен,U,0,0,0,-1
абатиса,U,0,0,0,-1
ігуменя,U,0,0,0,-1
абатство,U,0,0,0,-1
манастир,U,0,0,0,-1
абетка,0,0,1,0,6
азбука,0,0,3,0,5
альфабет,0,0,1,0,7
алфавит,0,0,1,0,7
букви,0,0,2,0,7
літери,0,0,2,0,7
абеточка,0,0,1,0,7
абетковий,-,2,0,1,4
азбучний,-,3,0,1,4
поазбучний,-,1,0,0,5
альфабетний,-,2,0,0,5
абетний,-,2,0,0,5
елементарний,-,4,0,2,3
початковий,-,3,0,0,3
загальновідомий,+,0,0,2,3
абеткувати,U,0,0,0,-1
реєструвати_за_абеткою,U,0,0,0,-1
абетник,U,0,0,0,-1
альфабетний_покажчик,U,0,0,0,-1
абзац,0,0,1,0,5
відступ,A,2,2,0,5
новий_рядок,0,0,1,0,6
уступ,0,1,2,0,4
аби,+,0,0,1,4
аби_тільки,+,0,0,1,5
аби_но,+,0,0,1,5
тільки_б,+,0,0,1,5
якби_тільки,+,0,0,1,5
щоб_лише,+,0,0,1,5
щоб,+,0,0,3,3
щоби,+,0,0,1,5
для_того,+,0,0,1,5
з_тим,+,0,0,1,5
абись,+,0,0,1,5
абиде,A,0,1,1,4
будь-де,U,0,0,0,5
де-будь,U,0,0,0,5
хоч_де,U,0,0,0,5
хай_де,U,0,0,0,5
де_припало,U,0,0,0,5
денебудь,0,0,1,0,3
десь,+,1,1,3,4
абиколи,-,3,0,2,6
будь-коли,-,2,0,0,5
колибудь,-,2,0,0,6
хоч_коли,-,1,0,0,5
хай_коли,-,1,0,0,5
колись,+,0,0,2,5
колинебудь,+,1,0,2,6
абикуди,+,0,0,1,5
будь-куди,U,0,0,0,5
кудибудь,U,0,0,0,5
хоч_куди,+,0,0,1,6
хай_куди,+,0,0,1,5
куди-небудь,+,0,0,1,6
кудись,+,0,0,4,5
аби_то,U,0,0,0,3
якнебудь,U,0,0,0,4
недбало,U,0,0,0,3
абияк,U,0,0,0,3
так_собі,A,1,0,1,2
абихто,-,1,0,0,4
будь-хто,-,3,0,0,3
хтобудь,-,1,0,0,5
хоч_хто,-,2,0,0,5
хай_хто,-,1,0,0,5
хтонебудь,-,2,0,0,4
хтось,-,4,0,0,4
абичий,U,0,0,0,-1
будь-чий,U,0,0,0,-1
чийбудь,U,0,0,0,-1
хай_чий,U,0,0,0,-1
хоч_чий,U,0,0,0,-1
чийнебудь,U,0,0,0,-1
чийсь,U,0,0,0,-1
абищиця,-,2,0,0,4
дрібниця,-,2,0,0,3
дрібничка,-,2,0,0,4
дурниця,-,3,0,0,3
дурничка,-,2,0,0,4
витребенька,-,5,0,0,5
абищо,-,3,0,0,4
будь-що,-,2,0,1,5
щобудь,-,2,0,0,5
хоч_що,-,1,0,0,5
хай_що,+,1,0,3,4
щонебудь,-,2,0,0,4
щось,-,5,0,1,4
нісенітниця,-,3,0,0,4
ніщо,-,2,0,1,4
нікчема,-,1,0,0,3
не_абищо,-,1,0,0,5
не_хвіст_собачий,-,1,0,0,5
будь-як,U,0,0,0,4
як-будь,U,0,0,0,4
хай_як,U,0,0,0,4
сяк-так,U,0,0,0,3
на_живу_нитку,U,0,0,0,4
абиякий,-,1,0,0,1
будь-який,-,1,0,0,2
якийбудь,-,1,0,0,2
перший-ліпший,-,2,0,0,2
хоч_який,-,1,0,0,2
хай_який,-,1,0,0,2
якийнебудь,-,3,0,0,2
сякий-такий,-,3,0,0,1
неавторитетний,-,1,0,0,2
звичайний,+,1,0,2,2
без_ваги,-,1,0,0,2
нездалий,-,3,0,0,1
поганий,-,1,0,0,0
неякісний,-,4,0,0,1
абітурієнт,+,0,0,1,8
випускник,+,0,0,1,7
матурант,+,0,0,1,9
вступник,+,0,0,1,9
або,+,0,0,1,6
чи,A,1,0,1,5
чи_то,+,0,0,1,7
альбо,+,0,0,1,7
а_то,+,0,0,1,7
тобто,+,0,0,3,7
інакше_кажучи,+,0,0,3,7
хіба,+,0,0,1,6
абориґен,-,2,0,0,6
тубілець,-,1,0,0,7
автохтон,A,1,0,1,7
корінний_житель,-,1,0,0,7
старожил,-,1,0,0,7
місцевий,-,2,0,0,5
тутешній,-,3,0,0,5
аборигенний,-,3,0,0,5
тубільний,-,3,0,0,5
автохтонний,-,4,0,0,5
корінний,-,3,0,2,4
аборт,U,0,0,0,-1
передчасні_пологи,U,0,0,0,-1
викидень,U,0,0,0,-1
абощо,U,0,0,0,-1
чи_що,U,0,0,0,-1
чи_там_що,U,0,0,0,-1
чи_то_ще_що,U,0,0,0,-1
абракадабра,-,1,0,0,5
абсурд,-,3,0,0,4
абрикоса,U,0,0,0,-1
жерделя,U,0,0,0,-1
мореля,U,0,0,0,-1
абрис,0,0,2,0,4
контур,0,0,2,0,4
обрис,A,0,1,1,3
обвід,0,0,4,0,4
окреслення,0,0,1,0,4
конфігурація,0,0,3,0,4
закрій,0,0,1,0,5
лінія,0,0,8,0,3
абсолютизм,-,1,0,0,8
самодержавство,-,1,0,0,9
монархізм,-,1,0,0,9
автократія,-,1,0,0,9
тиранія,-,2,0,0,7
деспотія,-,1,0,0,9
деспотизм,-,2,0,0,8
тоталітаризм,-,1,0,0,9
диктатура,-,1,0,0,9
абсолютний,-,5,0,4,3
цілковитий,+,2,0,3,3
повний,+,2,0,6,3
необмежений,+,1,0,5,3
безумовний,+,2,0,4,4
всеосяжний,+,2,0,3,4
всеохопний,+,1,0,5,4
тотальний,+,1,0,3,4
безвідносний,-,1,0,0,4
абсолютно,+,0,0,7,2
умоглядний,+,0,0,1,3
безглуздя,-,2,0,0,5
нонсенс,-,1,0,0,5
несусвітенність,-,1,0,0,5
безглуздість,-,2,0,0,5
нісенітність,-,1,0,0,5
неподобність,-,1,0,0,3
недоладність,-,1,0,0,5
на_вербі_груші,-,1,0,0,5
сон_рябої_кобили,-,4,0,0,4
таке,-,1,0,0,5
що_й_купи_не_держиться,-,1,0,0,5
бридня,-,2,0,0,4
глупство,-,2,0,0,5
чортзна-що,-,2,0,0,5
чортибатька-що,-,2,0,0,4
маячня,-,3,0,0,4
ідіотизм,-,1,0,0,5
дурість,-,3,0,0,4
парадокс,-,1,0,0,5
анекдота,A,1,0,1,4
анекдотичність,-,1,0,0,5
анекдот,-,1,0,0,5
абсурдний,-,3,0,0,3
безглуздий,-,4,0,0,3
нісенітний,-,2,0,0,3
ні_в_кут_ні_в_двері,-,1,0,0,4
ні_те_ні_се,-,1,0,0,4
дикий,-,12,0,2,3
абсцис,-,2,0,0,6
гнояк,-,1,0,0,6
нарив,-,1,0,0,7
чир,-,2,0,0,6
чиряк,-,1,0,0,5
фурункул,-,3,0,0,6
карбункул,-,2,0,0,6
нагноєння,-,1,0,0,7
запалення,-,1,0,0,7
аванґард,0,0,2,0,6
перший_ешельон,0,0,1,0,7
передова_частина,0,0,1,0,7
передовики,0,0,1,0,7
перші_лави,U,0,0,0,5
еліта,A,0,1,1,5
вершки,0,0,3,0,6
сметанка,0,0,3,0,6
авангардний,-,2,0,0,4
передовий,-,2,0,1,3
з_перших_лав,-,1,0,0,5
елітарний,-,1,0,0,5
аванс,U,0,0,0,-1
завдаток,U,0,0,0,-1
авансом,+,0,0,3,5
