Token	      	Lemma	        Part-of-speech
				- 				SENT_START z
Була			бути   			verb:past:f:imperf
у				у 				prep:rv_zna:v-u 
суботу			субота 			noun:f:v_zna 
у				у 				prep:rv_mis:v-u 
піцерії			піцерія 		noun:f:v_mis 
"				- 				- 
Челентано		Челентано 		noun:m:v_naz:nv:np:anim:lname
"				- 				- 
біля			біля 			adv 
МЕТРО			метро 			noun:n:v_rod:nv 
на				на 				prep:rv_mis 
вул.			- 				- 
Дж				Дж 				noun:m:v_rod:nv:abbr 
.				- 				SENT_END 
				- 				SENT_START 
Вашингтона		Вашингтон 		noun:m:v_rod 
(				- 				- 
колишня			колишній 		adj:f:v_naz 
Батальна		батальний 		adj:f:v_naz 
)				- 				- 
Враження		враження 		noun:n:v_naz 
жахливі			жахливий 		adj:p:v_naz:compb 
...				- 				- 
піцу			піца 			noun:f:v_zna 
готував			готувати 		verb:past:m:imperf 
якийсь			якийсь 			adj:m:v_naz:&pron:ind 
нервовий		нервовий 		adj:m:v_naz 
хлопчина		хлопчина 		noun:f:v_naz:anim 
,				- 				- 
огризався		огризатися 		verb:rev:past:m:imperf 
,				- 				- 
коктейль		коктейль 		noun:m:v_zna 
готували		готувати 		verb:past:p:imperf 
ще				ще 				part 
довше			довго 			adv:compr 
ніж				ніж 			conj:subord
,				- 				- 
при				при 			prep:rv_mis
тому			той 			adj:m:v_dav:&pron:dem
,				- 				- 
що				що 				conj:subord 
відвідувачів	відвідувач 		noun:p:v_rod:anim 
не				не 				part 
було			бути 			verb:past:n:imperf 
більше			багато 			adv:compr 
.				- 				SENT_END 
				- 				SENT_START 
Касирка			касирка 		noun:f:v_naz:anim 
-				- 				- 
це				цей 			adj:n:v_naz:&pron:dem
взагалі			взагалі 		adv:v-u 
ЩОСЬ			щось 			pron:ind:n:v_zna 
.				- 				SENT_END 
				- 				SENT_START 
Цілий			цілий 			adj:m:v_naz
час				час 			noun:m:v_naz 
мого			мій 			adj:m:v_rod:&pron:pos 
перебування		перебування 	noun:n:v_rod 
повисала		повисати 		verb:past:f:imperf 
на				на 				prep:rv_mis 
своєму			свій 			adj:m:v_dav:&pron:pos (adj:m:v_mis:&pron:pos)
бой-френді		(бойфренд)		(noun:m:v_mis:coll)	 				- 
,				- 				- 
який			який 			adj:m:v_naz:&pron:int:rel:def
збоку			збоку 			adv 
біля			біля 			adv 					(prep:rv_rod)
каси			каса 			noun:f:v_rod
стояв			стояти 			verb:past:m:imperf 
.				- 				SENT_END 
				- 				SENT_START 
Тобто			тобто 			conj:subord
,				- 				- 
коли			коли 			conj:subord
приходилось		приходитися 	verb:rev:past:n:imperf 
цю				цей  			adj:f:v_zna:&pron:dem 
любов			любов 			noun:f:v_zna 
перебивати		перебивати 		verb:inf:imperf 
,				- 				- 
проханням		прохання 		noun:n:v_oru
щось			щось 			pron:ind:n:v_zna 
замовити		замовити 		verb:inf:perf 
,				- 				- 
у				у 				prep:rv_zna:v-u 
відповідь		відповідь 		noun:f:v_zna 
було			бути			verb:past:n:imperf 
незадоволення	незадоволення 	noun:n:v_naz
.				-				SENT_END 
				-				SENT_START 
Ну				ну 				part 
і				і 				conj:coord
феєрія			феєрія 			noun:f:v_naz 
вечора			вечір 			noun:m:v_rod 
-				- 				- 
замовила		замовити 		verb:past:f:perf 
піцу			піца 			noun:f:v_zna 
з				з 				prep:rv_oru
куркою			курка 			noun:f:v_oru:anim 
,				- 				- 
а				а 				conj:coord
отримала		отримати 		verb:past:f:perf 
з				з 				prep:rv_oru
мисливськими	мисливський 	adj:p:v_oru 
ковбасками		ковбаска 		noun:p:v_oru 
...				- 				- 
ревізора		ревізор 		noun:m:v_rod:anim 
на				на 				prep:rv_zna
Вас				ви 				pron:pers:p:2:v_zna:anim
,				- 				- 
друзі			друзі 			noun:p:v_kly:anim
...				- 				SENT_END 
								PARA_END 
				- 				SENT_START 
Я				я 				pron:pers:s:1:v_naz:anim 
постійний		постійний 		adj:m:v_naz
клієнт			клієнт 			noun:m:v_naz:anim 
вашого			ваш 			adj:m:v_rod:&pron:pos
закладу			заклад 			noun:m:v_rod
,				- 				- 
але				але 			conj:coord
після			після 			prep:rv_rod 
останнього		останній 		adj:m:v_rod 
візиту			візит 			noun:m:v_rod 
мене			я 				pron:pers:s:1:v_zna:anim 
розчарувало		розчарувати 	verb:past:n:perf 
відношення		відношення 		noun:n:v_naz
офіціанта		офіціант 		noun:m:v_rod:anim 
Марка			Маркo 			noun:m:v_rod:anim:fname
до				до 				prep:rv_rod 
клієнтів		клієнт 			noun:p:v_rod:anim
!				- 				SENT_END 
				- 				SENT_START 
Це				цей 			adj:n:v_naz:&pron:dem
я				я 				pron:pers:s:1:v_naz:anim
спостерігала	спостерігати 	verb:past:f:imperf 
не				не 				part 
вперше			вперше 			adv:v-u 
.				- 				SENT_END 
				- 				SENT_START 
Він				він 			pron:pers:m:3:v_naz:anim 
дуже			дуже 			adv
непривітний		непривітний 	adj:m:v_naz
,				- 				- 
і				і 				conj:coord
з				з 				prep:rv_oru 
незадоволеним	незадоволений 	adj:m:v_oru 
виразом			вираз 			noun:m:v_oru 
на				на 				prep:rv_zna:rv_mis 
лиці			лице 			noun:n:v_mis 
приймав			приймати 		verb:past:m:imperf 
замовлення		замовлення 		noun:n:v_zna
,				- 				- 
здачу			здача 			noun:f:v_zna 
я				я 				pron:pers:s:1:v_naz:anim 
чекала			чекати 			verb:past:f:imperf 
30				30 				number 
хв				- 				- 
,				- 				- 
а				а 				conj:coord
потім			потім 			adv:&pron:dem 
Марко			Марко 			noun:m:v_naz:anim:fname
забув			забути 			verb:past:m:perf 
скільки			скільки 		numr:p:v_zna:&pron:ind 
грошей			гроші 			noun:p:v_rod 
я				я 				pron:pers:s:1:v_naz:anim 
заплатила		заплатити 		verb:past:f:perf 
і				і 				conj:coord
заявив			заявити 		verb:past:m:perf 
що				що 				conj:subord
неправильно		неправильно 	adv 
розрахувалась	розрахуватися 	verb:rev:past:f:perf 
,				- 				- 
після			після 			prep:rv_rod 
чого			що				pron:int:rel:n:v_rod 
бажання			бажання 		noun:n:v_naz
відвідувати		відвідувати 	verb:inf:imperf 
ваш				ваш 			adj:m:v_zna:&pron:pos 
заклад			заклад 			noun:m:v_zna 
пропало			пропасти 		verb:past:n:perf 
!				- 				SENT_END 
								PARA_END 
				- 				SENT_START 
Відвідую		відвідувати 	verb:pres:s:1:imperf 
ваш				ваш 			adj:m:v_zna:&pron:pos 
заклад			заклад 			noun:m:v_zna 
не				не				part 
вперше			вперше 			adv:v-u 
,				- 				- 
претензій		претензія 		noun:p:v_rod 
в				в 				prep:rv_mis:v-u 
принципі		принцип 		noun:m:v_mis 
немає			немає 			predic 
і				і 				conj:coord
страви			страва 			noun:p:v_naz 
смачні			смачний 		adj:p:v_naz:compb 
,				- 				- 
обслуговування	обслуговування 	noun:n:v_naz
в				в 				prep:rv_mis:v-u 
нормі			норма 			noun:f:v_mis 
,				- 				- 
хоча			хоча 			conj:subord
офіціанти		офіціант 		noun:p:v_naz:anim 
могли			могти 			verb:unknown 
б				б 				part 
бути			бути 			verb:inf:imperf 
більш			багато 			adv:compr 
привітними		привітний 		adj:p:v_oru:compb 
та				та 				conj:coord
приємними		приємний 		adj:p:v_oru:compb 
,				- 				- 
просто			просто 			part  
звернула		звернути 		verb:past:f:perf 
увагу			увага 			noun:f:v_zna 
,				- 				- 
що				що 				conj:subord 
більшість		більшість 		noun:f:v_naz
з				з 				prep:rv_zna 
них				вони 			pron:pers:p:3:v_zna:anim 
такі			такий 			adj:p:v_naz:&pron:def 
нахмурені		нахмурений 		adjp:pasv:past:p:v_naz 
ходять			ходити 			verb:pres:p:3:imperf 
,				- 				- 
все				все 			part:v-u 
таки			таки 			part 
ми				ми 				pron:pers:p:1:v_naz:anim 
не				не 				part 
до				до 				prep:rv_rod 
них				вони 			pron:pers:p:3:v_rod:anim
додому			додому 			adv 
прийшли			прийти 			verb:past:p:perf 
поїсти			поїсти 			verb:inf:perf 
!				- 				SENT_END 
				- 				SENT_START 
Ще				ще 				part 
одне			один 			numr:n:v_naz 
зауваження		зауваження 		noun:n:v_naz 
пеленальний		- 				- 
столик			столик 			noun:m:v_naz
в				в 				prep:rv_misv-u 
туалеті			туалет 			noun:m:v_mis 
розміщений		розміщений 		adjp:pasv:past:m:v_naz
дуже			дуже 			adv 
не				не 				part 
зручно			зручно 			adv:compb 
,				- 				- 
переодягнути	переодягнути 	verb:inf:perf 
малечу			малеча 			noun:f:v_zna 
складно			складно 		adv:compb 
(				- 				- 
(				- 				- 
(				- 				- 
!				- 				- 
!				- 				- 
!				- 				- 
!				- 				- 
!				- 				- 
!				- 				- 
!				-				- 
!				- 				- 
!				- 				SENT_END 
				- 				SENT_START 
А				а 				part 
от				от 				part 
ваші			ваш 			adj:p:v_naz:&pron:pos 
фондани			- 				- 
просто			просто 			part
не				не				part 
перевершені		перевершений 	adjp:pasv:past:p:v_naz
,				- 				- 
надзвичайно		надзвичайно 	adv 
смачні			смачний 		adj:p:v_naz:compb
,				- 				- 
і				і 				conj:coord
взагалі			взагалі 		adv:v-u 
кухня			кухня 			noun:f:v_naz 
дуже			дуже 			adv 
смачна			смачний 		adj:f:v_naz:compb 
так				так 			adv:&pron:dem
тримати			тримати 		verb:inf:imperf 
!				- 				SENT_END 
								PARA_END
				-				SENT_START 
Персонал		персонал 		noun:m:v_naz
,				- 				- 
хоч				хоч 			conj:subord
до				до 				prep:rv_rod 
клієнта			клієнт 			noun:m:v_rod:anim\
ставиться		ставитися 		verb:rev:pres:s:3:imperf 
позитивно		позитивно 		adv:compb 
,				- 				- 
проте			проте 			conj:coord 
між				між 			prep:rv_oru
собою			себе 			pron:refl:m:v_oru 
голосно			голосно 		adv:compb 
вирішують		вирішувати 		verb:pres:p:3:imperf 
проблеми		проблема 		noun:p:v_zna 
+				- 				- 
коли			коли 			conj:subord				 
заходять		заходити 		verb:pres:p:3:imperf 
їх				вони 			pron:pers:p:3:v_rod:anim
друзі			друзі 			noun:p:v_naz:anim 								 
,				- 				- 
то				то 				conj:subord 
теж				теж 			part 
таки			таки 			part 
голосно			голосно 		adv:compb 
розказують		розказувати 	verb:pres:p:3:imperf 
як				як 				conj:subord 
будуть			бути 			verb:futr:p:3:imperf 
тут				тут 			adv:&pron:dem 
щось			щось 			pron:ind:n:v_zna 
пити			пити 			verb:inf:imperf 
чи				чи 				conj:coord:subord
їсти			їсти 			verb:inf:imperf 
на				на 				prep:rv_zna:rv_mis 
халяву			халява 			noun:f:v_zna 
,				- 				- 
а				а 				conj:coord 
потім			потім 			adv:&pron:dem 
ще				ще 				part 
й				й 				part 
спілкуються		спілкуватися 	verb:rev:pres:p:3:imperf 
з				з 				prep:rv_oru
персоналом		персонал 		noun:m:v_oru 
через			через 			prep:rv_zna 
весь			весь 			adj:m:v_zna:&pron:dem 
зал				зал 			noun:m:v_zna
,				- 				- 
